original_map	hero_kill_map	map_file	hero_kill_file	zircon_map_info	zircon_map_file	relation	size	entrances_exits	city_town_safe_zone_landmarks	hero_kill_walkable	zircon_walkable	coordinate_transform	coordinate_reuse	confidence	evidence
76	76	/home/tetsuya/mir2ei/Map/76.map	/home/tetsuya/mir2ei/Map/76.map	"{""index"": 688, ""file"": ""76"", ""description"": ""沙漠""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/76.map	exact	"{""hero_kill"": {""width"": 400, ""height"": 200}, ""zircon"": {""width"": 400, ""height"": 200}}"	"{""region_count"": 34, ""region_landmark_samples"": [""76 / Armoured Ant Spawn"", ""76 / Centipede Spawn"", ""76 / Shinsu Spawn"", ""76 / Armoured Ant Spawn"", ""76 / Centipede Spawn"", ""76 / Shinsu Spawn"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination""], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [""75"", ""77""], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	"[""76 / Armoured Ant Spawn"", ""76 / Centipede Spawn"", ""76 / Shinsu Spawn"", ""76 / Armoured Ant Spawn"", ""76 / Centipede Spawn"", ""76 / Shinsu Spawn"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Source"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination"", ""76 / Teleport Destination""]"	"{""status"": ""pass"", ""walkable_cells"": 23610, ""total_cells"": 80000, ""walkable_ratio"": 0.295125}"	"{""status"": ""pass"", ""walkable_cells"": 23610, ""total_cells"": 80000, ""walkable_ratio"": 0.295125}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""35b4e5b0e21d3255668c02bc8ce5153c4566ae30b460a690e67ccc66e9c3b8ed"", ""zircon_sha256"": ""35b4e5b0e21d3255668c02bc8ce5153c4566ae30b460a690e67ccc66e9c3b8ed""}"
77	77	/home/tetsuya/mir2ei/Map/77.map	/home/tetsuya/mir2ei/Map/77.map	"{""index"": 689, ""file"": ""77"", ""description"": ""沙漠""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/77.map	exact	"{""hero_kill"": {""width"": 400, ""height"": 200}, ""zircon"": {""width"": 400, ""height"": 200}}"	"{""region_count"": 32, ""region_landmark_samples"": [""77 / Armoured Ant Spawn"", ""77 / Centipede Spawn"", ""77 / Shinsu Spawn"", ""77 / Armoured Ant Spawn"", ""77 / Centipede Spawn"", ""77 / Shinsu Spawn"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination""], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [""76"", ""78""], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	"[""77 / Armoured Ant Spawn"", ""77 / Centipede Spawn"", ""77 / Shinsu Spawn"", ""77 / Armoured Ant Spawn"", ""77 / Centipede Spawn"", ""77 / Shinsu Spawn"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Source"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination"", ""77 / Teleport Destination""]"	"{""status"": ""pass"", ""walkable_cells"": 23610, ""total_cells"": 80000, ""walkable_ratio"": 0.295125}"	"{""status"": ""pass"", ""walkable_cells"": 23610, ""total_cells"": 80000, ""walkable_ratio"": 0.295125}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""35b4e5b0e21d3255668c02bc8ce5153c4566ae30b460a690e67ccc66e9c3b8ed"", ""zircon_sha256"": ""35b4e5b0e21d3255668c02bc8ce5153c4566ae30b460a690e67ccc66e9c3b8ed""}"
78	78	/home/tetsuya/mir2ei/Map/78.map	/home/tetsuya/mir2ei/Map/78.map	"{""index"": 690, ""file"": ""78"", ""description"": ""沙漠""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/78.map	exact	"{""hero_kill"": {""width"": 400, ""height"": 200}, ""zircon"": {""width"": 400, ""height"": 200}}"	"{""region_count"": 29, ""region_landmark_samples"": [""78 / Armoured Ant Spawn"", ""78 / Centipede Spawn"", ""78 / Shinsu Spawn"", ""78 / Armoured Ant Spawn"", ""78 / Centipede Spawn"", ""78 / Shinsu Spawn"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Destination""], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [""6"", ""77""], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	"[""78 / Armoured Ant Spawn"", ""78 / Centipede Spawn"", ""78 / Shinsu Spawn"", ""78 / Armoured Ant Spawn"", ""78 / Centipede Spawn"", ""78 / Shinsu Spawn"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Source"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Destination"", ""78 / Teleport Destination""]"	"{""status"": ""pass"", ""walkable_cells"": 23610, ""total_cells"": 80000, ""walkable_ratio"": 0.295125}"	"{""status"": ""pass"", ""walkable_cells"": 23610, ""total_cells"": 80000, ""walkable_ratio"": 0.295125}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""35b4e5b0e21d3255668c02bc8ce5153c4566ae30b460a690e67ccc66e9c3b8ed"", ""zircon_sha256"": ""35b4e5b0e21d3255668c02bc8ce5153c4566ae30b460a690e67ccc66e9c3b8ed""}"
81	81	/home/tetsuya/mir2ei/Map/81.map	/home/tetsuya/mir2ei/Map/81.map	"{""index"": 691, ""file"": ""81"", ""description"": ""流放岛""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/81.map	variant	"{""hero_kill"": {""width"": 300, ""height"": 350}, ""zircon"": {""width"": 300, ""height"": 350}}"	"{""region_count"": 12, ""region_landmark_samples"": [""81 / Safe Zone"", ""81 / Teleport Source"", ""81 / Teleport Destination"", ""81 / 81 / 传送流放"", ""81 / Teleport Source"", ""81 / Teleport Source"", ""81 / Teleport Destination"", ""81 / Teleport Destination"", ""81 / Teleport Destination""], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [""D1201""], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	"[""81 / Safe Zone"", ""81 / Teleport Source"", ""81 / Teleport Destination"", ""81 / 81 / 传送流放"", ""81 / Teleport Source"", ""81 / Teleport Source"", ""81 / Teleport Destination"", ""81 / Teleport Destination"", ""81 / Teleport Destination""]"	"{""status"": ""pass"", ""walkable_cells"": 14624, ""total_cells"": 105000, ""walkable_ratio"": 0.139276}"	"{""status"": ""pass"", ""walkable_cells"": 14470, ""total_cells"": 105000, ""walkable_ratio"": 0.13781}"	pending landmark mapping; no blind coordinate reuse	blocked	low	"{""relation"": ""same dimensions, different map bytes"", ""hero_kill_sha256"": ""d91226b4f040c77ac9c2a2a289369811c9da73faa53de61a50a67a2f0acfb055"", ""zircon_sha256"": ""4ba56fe6e1ebbd105a35e26d6b99cc490e565f03ba3fe49e8f1c78fd9be60506""}"
B010	B010	/home/tetsuya/mir2ei/Map/B010.map	/home/tetsuya/mir2ei/Map/B010.map	"{""index"": 692, ""file"": ""B010"", ""description"": ""EI B010""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B010.map	exact	"{""hero_kill"": {""width"": 100, ""height"": 100}, ""zircon"": {""width"": 100, ""height"": 100}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 1322, ""total_cells"": 10000, ""walkable_ratio"": 0.1322}"	"{""status"": ""pass"", ""walkable_cells"": 1322, ""total_cells"": 10000, ""walkable_ratio"": 0.1322}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""5c94ddd5b24001cecb14ed5bf3cc1d87ffe75228f423ab53d9c298b6dd82de3e"", ""zircon_sha256"": ""5c94ddd5b24001cecb14ed5bf3cc1d87ffe75228f423ab53d9c298b6dd82de3e""}"
B011	B011	/home/tetsuya/mir2ei/Map/B011.map	/home/tetsuya/mir2ei/Map/B011.map	"{""index"": 693, ""file"": ""B011"", ""description"": ""EI B011""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B011.map	exact	"{""hero_kill"": {""width"": 18, ""height"": 18}, ""zircon"": {""width"": 18, ""height"": 18}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 40, ""total_cells"": 324, ""walkable_ratio"": 0.123457}"	"{""status"": ""pass"", ""walkable_cells"": 40, ""total_cells"": 324, ""walkable_ratio"": 0.123457}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""fb0c0763f7bebd2ce220e570501afb88f41fa006c7ea88a39ae1307344cbb518"", ""zircon_sha256"": ""fb0c0763f7bebd2ce220e570501afb88f41fa006c7ea88a39ae1307344cbb518""}"
B101	B101	/home/tetsuya/mir2ei/Map/B101.map	/home/tetsuya/mir2ei/Map/B101.map	"{""index"": 694, ""file"": ""B101"", ""description"": ""EI B101""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B101.map	exact	"{""hero_kill"": {""width"": 22, ""height"": 22}, ""zircon"": {""width"": 22, ""height"": 22}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63"", ""zircon_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63""}"
B102	B102	/home/tetsuya/mir2ei/Map/B102.map	/home/tetsuya/mir2ei/Map/B102.map	"{""index"": 695, ""file"": ""B102"", ""description"": ""EI B102""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B102.map	exact	"{""hero_kill"": {""width"": 22, ""height"": 22}, ""zircon"": {""width"": 22, ""height"": 22}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63"", ""zircon_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63""}"
B103	B103	/home/tetsuya/mir2ei/Map/B103.map	/home/tetsuya/mir2ei/Map/B103.map	"{""index"": 696, ""file"": ""B103"", ""description"": ""EI B103""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B103.map	exact	"{""hero_kill"": {""width"": 22, ""height"": 22}, ""zircon"": {""width"": 22, ""height"": 22}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63"", ""zircon_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63""}"
B103_001	B103_001	/home/tetsuya/mir2ei/Map/B103_001.map	/home/tetsuya/mir2ei/Map/B103_001.map	"{""index"": 697, ""file"": ""B103_001"", ""description"": ""NPC休息室""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B103_001.map	exact	"{""hero_kill"": {""width"": 40, ""height"": 40}, ""zircon"": {""width"": 40, ""height"": 40}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 183, ""total_cells"": 1600, ""walkable_ratio"": 0.114375}"	"{""status"": ""pass"", ""walkable_cells"": 183, ""total_cells"": 1600, ""walkable_ratio"": 0.114375}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""d29d3790bb119db23b7658d0f908b10a1517d7d92834a512d5f10d77ed0eec0b"", ""zircon_sha256"": ""d29d3790bb119db23b7658d0f908b10a1517d7d92834a512d5f10d77ed0eec0b""}"
B104	B104	/home/tetsuya/mir2ei/Map/B104.map	/home/tetsuya/mir2ei/Map/B104.map	"{""index"": 698, ""file"": ""B104"", ""description"": ""EI B104""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B104.map	exact	"{""hero_kill"": {""width"": 22, ""height"": 22}, ""zircon"": {""width"": 22, ""height"": 22}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63"", ""zircon_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63""}"
B105	B105	/home/tetsuya/mir2ei/Map/B105.map	/home/tetsuya/mir2ei/Map/B105.map	"{""index"": 699, ""file"": ""B105"", ""description"": ""EI B105""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B105.map	exact	"{""hero_kill"": {""width"": 22, ""height"": 22}, ""zircon"": {""width"": 22, ""height"": 22}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63"", ""zircon_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63""}"
B105_001	B105_001	/home/tetsuya/mir2ei/Map/B105_001.map	/home/tetsuya/mir2ei/Map/B105_001.map	"{""index"": 700, ""file"": ""B105_001"", ""description"": ""EI B105_001""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B105_001.map	exact	"{""hero_kill"": {""width"": 40, ""height"": 40}, ""zircon"": {""width"": 40, ""height"": 40}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 183, ""total_cells"": 1600, ""walkable_ratio"": 0.114375}"	"{""status"": ""pass"", ""walkable_cells"": 183, ""total_cells"": 1600, ""walkable_ratio"": 0.114375}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""d29d3790bb119db23b7658d0f908b10a1517d7d92834a512d5f10d77ed0eec0b"", ""zircon_sha256"": ""d29d3790bb119db23b7658d0f908b10a1517d7d92834a512d5f10d77ed0eec0b""}"
B106	B106	/home/tetsuya/mir2ei/Map/B106.map	/home/tetsuya/mir2ei/Map/B106.map	"{""index"": 701, ""file"": ""B106"", ""description"": ""EI B106""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B106.map	exact	"{""hero_kill"": {""width"": 22, ""height"": 22}, ""zircon"": {""width"": 22, ""height"": 22}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63"", ""zircon_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63""}"
B106_001	B106_001	/home/tetsuya/mir2ei/Map/B106_001.map	/home/tetsuya/mir2ei/Map/B106_001.map	"{""index"": 702, ""file"": ""B106_001"", ""description"": ""EI B106_001""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B106_001.map	exact	"{""hero_kill"": {""width"": 40, ""height"": 40}, ""zircon"": {""width"": 40, ""height"": 40}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 218, ""total_cells"": 1600, ""walkable_ratio"": 0.13625}"	"{""status"": ""pass"", ""walkable_cells"": 218, ""total_cells"": 1600, ""walkable_ratio"": 0.13625}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""f7a24186ce06930970ccecea94a7852c45aab173840dc46b07f3c36adb9b1d29"", ""zircon_sha256"": ""f7a24186ce06930970ccecea94a7852c45aab173840dc46b07f3c36adb9b1d29""}"
B106_002	B106_002	/home/tetsuya/mir2ei/Map/B106_002.map	/home/tetsuya/mir2ei/Map/B106_002.map	"{""index"": 703, ""file"": ""B106_002"", ""description"": ""EI B106_002""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B106_002.map	exact	"{""hero_kill"": {""width"": 40, ""height"": 40}, ""zircon"": {""width"": 40, ""height"": 40}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 218, ""total_cells"": 1600, ""walkable_ratio"": 0.13625}"	"{""status"": ""pass"", ""walkable_cells"": 218, ""total_cells"": 1600, ""walkable_ratio"": 0.13625}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""f7a24186ce06930970ccecea94a7852c45aab173840dc46b07f3c36adb9b1d29"", ""zircon_sha256"": ""f7a24186ce06930970ccecea94a7852c45aab173840dc46b07f3c36adb9b1d29""}"
B106_003	B106_003	/home/tetsuya/mir2ei/Map/B106_003.map	/home/tetsuya/mir2ei/Map/B106_003.map	"{""index"": 704, ""file"": ""B106_003"", ""description"": ""EI B106_003""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B106_003.map	exact	"{""hero_kill"": {""width"": 40, ""height"": 40}, ""zircon"": {""width"": 40, ""height"": 40}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 218, ""total_cells"": 1600, ""walkable_ratio"": 0.13625}"	"{""status"": ""pass"", ""walkable_cells"": 218, ""total_cells"": 1600, ""walkable_ratio"": 0.13625}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""f7a24186ce06930970ccecea94a7852c45aab173840dc46b07f3c36adb9b1d29"", ""zircon_sha256"": ""f7a24186ce06930970ccecea94a7852c45aab173840dc46b07f3c36adb9b1d29""}"
B107	B107	/home/tetsuya/mir2ei/Map/B107.map	/home/tetsuya/mir2ei/Map/B107.map	"{""index"": 705, ""file"": ""B107"", ""description"": ""EI B107""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B107.map	exact	"{""hero_kill"": {""width"": 22, ""height"": 22}, ""zircon"": {""width"": 22, ""height"": 22}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63"", ""zircon_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63""}"
B108	B108	/home/tetsuya/mir2ei/Map/B108.map	/home/tetsuya/mir2ei/Map/B108.map	"{""index"": 706, ""file"": ""B108"", ""description"": ""EI B108""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/B108.map	exact	"{""hero_kill"": {""width"": 22, ""height"": 22}, ""zircon"": {""width"": 22, ""height"": 22}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	"{""status"": ""pass"", ""walkable_cells"": 71, ""total_cells"": 484, ""walkable_ratio"": 0.146694}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63"", ""zircon_sha256"": ""e27a08627d7b89c8857bd1b5c4a317ee18cc3d3087f17f9b265807c0168f5a63""}"
