hero_kill_monster_id	hero_kill_monster_name	hero_kill_attributes	mapped_zircon_monster_index	mapped_zircon_monster_name	mapping_method	confidence	display_name_note	status
11	祖玛雕像0	"{""Appr"": 101, ""Race"": 47, ""Level"": 45, ""HP"": 2800, ""Exp"": 1200, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 12, ""DCMin"": 37, ""DCMax"": 55, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
12	祖玛教主	"{""Appr"": 102, ""Race"": 49, ""Level"": 94, ""HP"": 14000, ""Exp"": 10500, ""ACMin"": 65, ""ACMax"": 65, ""MAC"": 120, ""DCMin"": 70, ""DCMax"": 175, ""DropTable"": 10}"	81	Zuma King	verified-alias	high	identity mapping is separate from display translation	mapped
13	蝎蛇	"{""Appr"": 81, ""Race"": 19, ""Level"": 30, ""HP"": 1440, ""Exp"": 280, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 8, ""DCMin"": 24, ""DCMax"": 36, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
14	七点白蛇	"{""Appr"": 97, ""Race"": 19, ""Level"": 71, ""HP"": 800, ""Exp"": 400, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 10, ""DCMin"": 44, ""DCMax"": 66, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
15	潘夜云魔	"{""Appr"": 216, ""Race"": 19, ""Level"": 45, ""HP"": 2600, ""Exp"": 1200, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 11, ""DCMin"": 37, ""DCMax"": 56, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
16	石像狮子98	"{""Appr"": 221, ""Race"": 19, ""Level"": 49, ""HP"": 3800, ""Exp"": 1300, ""ACMin"": 14, ""ACMax"": 14, ""MAC"": 27, ""DCMin"": 50, ""DCMax"": 60, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
17	食人花	"{""Appr"": 85, ""Race"": 13, ""Level"": 10, ""HP"": 21, ""Exp"": 21, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 2, ""DCMax"": 8, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
18	暗黑战士	"{""Appr"": 93, ""Race"": 22, ""Level"": 25, ""HP"": 320, ""Exp"": 240, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 14, ""DCMax"": 28, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
19	暗黑战士0	"{""Appr"": 93, ""Race"": 22, ""Level"": 25, ""HP"": 320, ""Exp"": 240, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 14, ""DCMax"": 28, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
20	暗黑战士40	"{""Appr"": 93, ""Race"": 22, ""Level"": 25, ""HP"": 320, ""Exp"": 240, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 13, ""DCMin"": 35, ""DCMax"": 100, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
21	八脚首领	"{""Appr"": 97, ""Race"": 19, ""Level"": 76, ""HP"": 5000, ""Exp"": 2000, ""ACMin"": 16, ""ACMax"": 16, ""MAC"": 19, ""DCMin"": 49, ""DCMax"": 77, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
22	霸群雕像	"{""Appr"": 209, ""Race"": 19, ""Level"": 100, ""HP"": 20, ""Exp"": 3000, ""ACMin"": 35, ""ACMax"": 35, ""MAC"": 180, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
23	霸王教主	"{""Appr"": 226, ""Race"": 19, ""Level"": 96, ""HP"": 20000, ""Exp"": 12000, ""ACMin"": 63, ""ACMax"": 63, ""MAC"": 104, ""DCMin"": 145, ""DCMax"": 245, ""DropTable"": 10}"	115	Emperor Sa'Woo	verified-alias	medium	identity mapping is separate from display translation	mapped
24	霸王守卫	"{""Appr"": 230, ""Race"": 19, ""Level"": 80, ""HP"": 10000, ""Exp"": 4000, ""ACMin"": 44, ""ACMax"": 44, ""MAC"": 118, ""DCMin"": 187, ""DCMax"": 253, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
25	霸王守卫9	"{""Appr"": 230, ""Race"": 19, ""Level"": 80, ""HP"": 10000, ""Exp"": 4000, ""ACMin"": 33, ""ACMax"": 33, ""MAC"": 42, ""DCMin"": 165, ""DCMax"": 220, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
26	白马	"{""Appr"": 150, ""Race"": 19, ""Level"": 120, ""HP"": 5, ""Exp"": 1000, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
27	白野猪	"{""Appr"": 208, ""Race"": 19, ""Level"": 75, ""HP"": 4500, ""Exp"": 1250, ""ACMin"": 13, ""ACMax"": 13, ""MAC"": 30, ""DCMin"": 44, ""DCMax"": 66, ""DropTable"": 10}"			conflict-no-direct-zircon-name	pending	identity mapping is separate from display translation	pending-review
28	半兽人	"{""Appr"": 83, ""Race"": 19, ""Level"": 13, ""HP"": 30, ""Exp"": 30, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 1, ""DCMin"": 4, ""DCMax"": 8, ""DropTable"": 0}"	22	Oma	verified-alias	medium	identity mapping is separate from display translation	mapped
29	半兽人0	"{""Appr"": 83, ""Race"": 19, ""Level"": 13, ""HP"": 30, ""Exp"": 30, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 1, ""DCMin"": 4, ""DCMax"": 8, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
30	半兽人61	"{""Appr"": 83, ""Race"": 19, ""Level"": 13, ""HP"": 1, ""Exp"": 30, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 1, ""DCMin"": 4, ""DCMax"": 8, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
31	半兽人9	"{""Appr"": 83, ""Race"": 19, ""Level"": 99, ""HP"": 30, ""Exp"": 300, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 2, ""DCMin"": 22, ""DCMax"": 44, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
32	半兽勇士	"{""Appr"": 97, ""Race"": 19, ""Level"": 70, ""HP"": 600, ""Exp"": 300, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 7, ""DCMin"": 16, ""DCMax"": 55, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
33	半兽勇士61	"{""Appr"": 81, ""Race"": 19, ""Level"": 70, ""HP"": 1, ""Exp"": 300, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 7, ""DCMin"": 4, ""DCMax"": 25, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
34	半兽勇士9	"{""Appr"": 97, ""Race"": 19, ""Level"": 99, ""HP"": 600, ""Exp"": 3000, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 7, ""DCMin"": 49, ""DCMax"": 165, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
35	半兽战士	"{""Appr"": 81, ""Race"": 19, ""Level"": 13, ""HP"": 50, ""Exp"": 50, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 1, ""DCMin"": 4, ""DCMax"": 12, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
36	半兽战士0	"{""Appr"": 81, ""Race"": 19, ""Level"": 13, ""HP"": 50, ""Exp"": 50, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 1, ""DCMin"": 4, ""DCMax"": 12, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
37	半兽战士61	"{""Appr"": 81, ""Race"": 19, ""Level"": 13, ""HP"": 1, ""Exp"": 50, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 1, ""DCMin"": 4, ""DCMax"": 12, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
38	半兽战士9	"{""Appr"": 81, ""Race"": 19, ""Level"": 99, ""HP"": 50, ""Exp"": 500, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 2, ""DCMin"": 22, ""DCMax"": 66, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
39	胞眼虫1	"{""Appr"": 81, ""Race"": 19, ""Level"": 20, ""HP"": 200, ""Exp"": 120, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 21, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
40	胞眼虫10	"{""Appr"": 81, ""Race"": 19, ""Level"": 20, ""HP"": 200, ""Exp"": 120, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 21, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
41	胞眼虫2	"{""Appr"": 81, ""Race"": 19, ""Level"": 20, ""HP"": 200, ""Exp"": 120, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 21, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
42	胞眼虫20	"{""Appr"": 81, ""Race"": 19, ""Level"": 20, ""HP"": 200, ""Exp"": 120, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 21, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
43	爆毒蚂蚁	"{""Appr"": 93, ""Race"": 19, ""Level"": 25, ""HP"": 320, ""Exp"": 240, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 16, ""DCMax"": 26, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
44	爆毒蚂蚁0	"{""Appr"": 93, ""Race"": 19, ""Level"": 25, ""HP"": 320, ""Exp"": 240, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 14, ""DCMax"": 26, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
45	爆毒神魔	"{""Appr"": 228, ""Race"": 37, ""Level"": 55, ""HP"": 8300, ""Exp"": 2600, ""ACMin"": 23, ""ACMax"": 23, ""MAC"": 53, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
46	爆裂蜘蛛	"{""Appr"": 117, ""Race"": 36, ""Level"": 35, ""HP"": 1, ""Exp"": 5, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 28, ""DCMax"": 42, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
47	蝙蝠	"{""Appr"": 81, ""Race"": 31, ""Level"": 30, ""HP"": 1, ""Exp"": 3, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 0, ""DCMax"": 23, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
48	变异骷髅	"{""Appr"": 100, ""Race"": 19, ""Level"": 160, ""HP"": 1, ""Exp"": 80, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 10, ""DCMin"": 6, ""DCMax"": 14, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
49	不死雄狮	"{""Appr"": 97, ""Race"": 19, ""Level"": 74, ""HP"": 2000, ""Exp"": 1000, ""ACMin"": 11, ""ACMax"": 11, ""MAC"": 11, ""DCMin"": 38, ""DCMax"": 55, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
50	柴三郎	"{""Appr"": 211, ""Race"": 11, ""Level"": 100, ""HP"": 5, ""Exp"": 300, ""ACMin"": 11, ""ACMax"": 11, ""MAC"": 16, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
51	超级圣诞树	"{""Appr"": 209, ""Race"": 19, ""Level"": 120, ""HP"": 10, ""Exp"": 20000, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
52	赤黄猪王	"{""Appr"": 216, ""Race"": 19, ""Level"": 76, ""HP"": 6000, ""Exp"": 3000, ""ACMin"": 16, ""ACMax"": 16, ""MAC"": 27, ""DCMin"": 55, ""DCMax"": 120, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
53	赤血恶魔	"{""Appr"": 97, ""Race"": 19, ""Level"": 40, ""HP"": 1620, ""Exp"": 460, ""ACMin"": 6, ""ACMax"": 6, ""MAC"": 8, ""DCMin"": 33, ""DCMax"": 48, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
54	赤血恶魔0	"{""Appr"": 97, ""Race"": 19, ""Level"": 40, ""HP"": 1620, ""Exp"": 460, ""ACMin"": 6, ""ACMax"": 6, ""MAC"": 8, ""DCMin"": 33, ""DCMax"": 48, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
55	赤血恶魔50	"{""Appr"": 97, ""Race"": 19, ""Level"": 40, ""HP"": 1620, ""Exp"": 460, ""ACMin"": 30, ""ACMax"": 30, ""MAC"": 50, ""DCMin"": 85, ""DCMax"": 100, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
56	触角神魔	"{""Appr"": 228, ""Race"": 19, ""Level"": 55, ""HP"": 8000, ""Exp"": 2500, ""ACMin"": 20, ""ACMax"": 20, ""MAC"": 53, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
57	触龙神	"{""Appr"": 107, ""Race"": 33, ""Level"": 91, ""HP"": 9000, ""Exp"": 6750, ""ACMin"": 44, ""ACMax"": 44, ""MAC"": 220, ""DCMin"": 110, ""DCMax"": 165, ""DropTable"": 6}"			pending	pending	identity mapping is separate from display translation	pending-review
58	雌诺玛	"{""Appr"": 52, ""Race"": 11, ""Level"": 4, ""HP"": 450, ""Exp"": 250, ""ACMin"": 0, ""ACMax"": 5, ""MAC"": 10, ""DCMin"": 0, ""DCMax"": 4, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
59	丛林战士1	"{""Appr"": 11, ""Race"": 19, ""Level"": 150, ""HP"": 1, ""Exp"": 9999, ""ACMin"": 220, ""ACMax"": 220, ""MAC"": 220, ""DCMin"": 165, ""DCMax"": 165, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
60	丛林战士2	"{""Appr"": 11, ""Race"": 19, ""Level"": 150, ""HP"": 1, ""Exp"": 9999, ""ACMin"": 220, ""ACMax"": 220, ""MAC"": 220, ""DCMin"": 165, ""DCMax"": 165, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
61	大法老	"{""Appr"": 204, ""Race"": 19, ""Level"": 76, ""HP"": 3000, ""Exp"": 1500, ""ACMin"": 16, ""ACMax"": 16, ""MAC"": 35, ""DCMin"": 49, ""DCMax"": 77, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
62	大老鼠	"{""Appr"": 97, ""Race"": 19, ""Level"": 45, ""HP"": 2600, ""Exp"": 1150, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 11, ""DCMin"": 37, ""DCMax"": 54, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
63	大老鼠0	"{""Appr"": 97, ""Race"": 19, ""Level"": 45, ""HP"": 2600, ""Exp"": 1150, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 11, ""DCMin"": 37, ""DCMax"": 54, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
64	单腿诺玛	"{""Appr"": 52, ""Race"": 11, ""Level"": 4, ""HP"": 450, ""Exp"": 250, ""ACMin"": 0, ""ACMax"": 5, ""MAC"": 10, ""DCMin"": 0, ""DCMax"": 4, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
65	稻草人	"{""Appr"": 83, ""Race"": 18, ""Level"": 10, ""HP"": 18, ""Exp"": 18, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 2, ""DCMax"": 5, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
66	稻草人0	"{""Appr"": 83, ""Race"": 18, ""Level"": 10, ""HP"": 18, ""Exp"": 18, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 2, ""DCMax"": 5, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
67	地牢女神1	"{""Appr"": 118, ""Race"": 19, ""Level"": 50, ""HP"": 4000, ""Exp"": 1800, ""ACMin"": 13, ""ACMax"": 13, ""MAC"": 15, ""DCMin"": 44, ""DCMax"": 55, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
68	地牢女神10	"{""Appr"": 118, ""Race"": 19, ""Level"": 50, ""HP"": 4000, ""Exp"": 1800, ""ACMin"": 13, ""ACMax"": 13, ""MAC"": 15, ""DCMin"": 44, ""DCMax"": 55, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
69	地牢女神2	"{""Appr"": 119, ""Race"": 19, ""Level"": 50, ""HP"": 4100, ""Exp"": 1500, ""ACMin"": 13, ""ACMax"": 13, ""MAC"": 15, ""DCMin"": 44, ""DCMax"": 55, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
70	地牢女神20	"{""Appr"": 119, ""Race"": 19, ""Level"": 50, ""HP"": 4100, ""Exp"": 1500, ""ACMin"": 13, ""ACMax"": 13, ""MAC"": 15, ""DCMin"": 44, ""DCMax"": 55, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
71	钉耙猫	"{""Appr"": 81, ""Race"": 17, ""Level"": 10, ""HP"": 20, ""Exp"": 20, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 2, ""DCMax"": 7, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
72	钉耙猫0	"{""Appr"": 81, ""Race"": 17, ""Level"": 10, ""HP"": 20, ""Exp"": 20, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 2, ""DCMax"": 7, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
73	洞蛆	"{""Appr"": 90, ""Race"": 16, ""Level"": 20, ""HP"": 160, ""Exp"": 100, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 11, ""DCMax"": 11, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
74	洞蛆61	"{""Appr"": 90, ""Race"": 16, ""Level"": 20, ""HP"": 1, ""Exp"": 100, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 11, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
75	毒蜘蛛	"{""Appr"": 82, ""Race"": 19, ""Level"": 10, ""HP"": 22, ""Exp"": 22, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 2, ""DCMax"": 9, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
76	毒蜘蛛61	"{""Appr"": 82, ""Race"": 19, ""Level"": 10, ""HP"": 22, ""Exp"": 22, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 2, ""DCMax"": 9, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
77	独臂诺玛	"{""Appr"": 52, ""Race"": 11, ""Level"": 4, ""HP"": 450, ""Exp"": 250, ""ACMin"": 0, ""ACMax"": 5, ""MAC"": 10, ""DCMin"": 0, ""DCMax"": 4, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
78	独眼蜘蛛	"{""Appr"": 81, ""Race"": 19, ""Level"": 35, ""HP"": 1490, ""Exp"": 330, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 8, ""DCMin"": 29, ""DCMax"": 45, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
79	独眼蜘蛛0	"{""Appr"": 81, ""Race"": 19, ""Level"": 35, ""HP"": 1490, ""Exp"": 330, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 8, ""DCMin"": 29, ""DCMax"": 45, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
80	多钩猫	"{""Appr"": 81, ""Race"": 17, ""Level"": 10, ""HP"": 20, ""Exp"": 20, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 2, ""DCMax"": 7, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
81	多钩猫0	"{""Appr"": 81, ""Race"": 17, ""Level"": 10, ""HP"": 20, ""Exp"": 20, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 2, ""DCMax"": 7, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
82	多角虫	"{""Appr"": 81, ""Race"": 19, ""Level"": 13, ""HP"": 30, ""Exp"": 30, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 1, ""DCMin"": 4, ""DCMax"": 8, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
83	多角虫0	"{""Appr"": 81, ""Race"": 19, ""Level"": 13, ""HP"": 30, ""Exp"": 30, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 1, ""DCMin"": 4, ""DCMax"": 8, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
84	多脚虫1	"{""Appr"": 104, ""Race"": 45, ""Level"": 20, ""HP"": 180, ""Exp"": 100, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 12, ""DCMax"": 16, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
85	多脚虫10	"{""Appr"": 104, ""Race"": 45, ""Level"": 20, ""HP"": 180, ""Exp"": 100, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 12, ""DCMax"": 16, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
86	多脚虫2	"{""Appr"": 104, ""Race"": 45, ""Level"": 20, ""HP"": 180, ""Exp"": 100, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 12, ""DCMax"": 16, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
87	多脚虫20	"{""Appr"": 104, ""Race"": 45, ""Level"": 20, ""HP"": 180, ""Exp"": 100, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 12, ""DCMax"": 16, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
88	恶形鬼	"{""Appr"": 97, ""Race"": 19, ""Level"": 55, ""HP"": 7600, ""Exp"": 2400, ""ACMin"": 29, ""ACMax"": 29, ""MAC"": 66, ""DCMin"": 66, ""DCMax"": 240, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
89	粪虫	"{""Appr"": 106, ""Race"": 53, ""Level"": 25, ""HP"": 260, ""Exp"": 180, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 15, ""DCMax"": 24, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
90	疯狂魔神盗	"{""Appr"": 219, ""Race"": 19, ""Level"": 78, ""HP"": 6000, ""Exp"": 2000, ""ACMin"": 22, ""ACMax"": 22, ""MAC"": 50, ""DCMin"": 60, ""DCMax"": 99, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
91	腐蚀人鬼	"{""Appr"": 119, ""Race"": 19, ""Level"": 25, ""HP"": 290, ""Exp"": 210, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 15, ""DCMax"": 26, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
92	腐蚀人鬼0	"{""Appr"": 119, ""Race"": 19, ""Level"": 25, ""HP"": 290, ""Exp"": 210, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 15, ""DCMax"": 26, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
