hero_kill_map	hero_kill_xy	hero_kill_range	hero_kill_count	hero_kill_monster_name	mapped_zircon_monster_index	mapped_zircon_monster_name	old_respawn	new_respawn	confidence	walkable	hero_kill_walkable	overlap	apply_status	mapping_method	match_status	range_note
					16	Chestnut Tree	"{""index"": 4184, ""map"": ""0"", ""xy"": {""x"": 173, ""y"": 170}, ""region_index"": 79, ""region_name"": ""0 / Grass Area"", ""region_size"": 64735, ""count"": 150, ""delay"": 30, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					17	Carnivorous Plant	"{""index"": 4185, ""map"": ""0"", ""xy"": {""x"": 173, ""y"": 170}, ""region_index"": 79, ""region_name"": ""0 / Grass Area"", ""region_size"": 64735, ""count"": 600, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					51	Centipede	"{""index"": 4186, ""map"": ""D801"", ""xy"": {""x"": 58, ""y"": 57}, ""region_index"": 427, ""region_name"": ""D801 / Whole Map"", ""region_size"": 3248, ""count"": 150, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					52	Butterfly Worm	"{""index"": 4187, ""map"": ""D801"", ""xy"": {""x"": 58, ""y"": 57}, ""region_index"": 427, ""region_name"": ""D801 / Whole Map"", ""region_size"": 3248, ""count"": 150, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					50	Wasp Hatchling	"{""index"": 4188, ""map"": ""D801"", ""xy"": {""x"": 58, ""y"": 57}, ""region_index"": 427, ""region_name"": ""D801 / Whole Map"", ""region_size"": 3248, ""count"": 150, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					53	Mutant Maggot	"{""index"": 4189, ""map"": ""D801"", ""xy"": {""x"": 58, ""y"": 57}, ""region_index"": 427, ""region_name"": ""D801 / Whole Map"", ""region_size"": 3248, ""count"": 150, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					51	Centipede	"{""index"": 4190, ""map"": ""D801"", ""xy"": {""x"": 93, ""y"": 85}, ""region_index"": 434, ""region_name"": ""D801 / Respawn Area 1"", ""region_size"": 256, ""count"": 20, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					52	Butterfly Worm	"{""index"": 4191, ""map"": ""D801"", ""xy"": {""x"": 93, ""y"": 85}, ""region_index"": 434, ""region_name"": ""D801 / Respawn Area 1"", ""region_size"": 256, ""count"": 20, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					50	Wasp Hatchling	"{""index"": 4192, ""map"": ""D801"", ""xy"": {""x"": 93, ""y"": 85}, ""region_index"": 434, ""region_name"": ""D801 / Respawn Area 1"", ""region_size"": 256, ""count"": 20, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					53	Mutant Maggot	"{""index"": 4193, ""map"": ""D801"", ""xy"": {""x"": 93, ""y"": 85}, ""region_index"": 434, ""region_name"": ""D801 / Respawn Area 1"", ""region_size"": 256, ""count"": 20, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					51	Centipede	"{""index"": 4194, ""map"": ""D802"", ""xy"": {""x"": 53, ""y"": 55}, ""region_index"": 435, ""region_name"": ""D802 / Whole Map"", ""region_size"": 3571, ""count"": 200, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					52	Butterfly Worm	"{""index"": 4195, ""map"": ""D802"", ""xy"": {""x"": 53, ""y"": 55}, ""region_index"": 435, ""region_name"": ""D802 / Whole Map"", ""region_size"": 3571, ""count"": 200, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					50	Wasp Hatchling	"{""index"": 4196, ""map"": ""D802"", ""xy"": {""x"": 53, ""y"": 55}, ""region_index"": 435, ""region_name"": ""D802 / Whole Map"", ""region_size"": 3571, ""count"": 200, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					53	Mutant Maggot	"{""index"": 4197, ""map"": ""D802"", ""xy"": {""x"": 53, ""y"": 55}, ""region_index"": 435, ""region_name"": ""D802 / Whole Map"", ""region_size"": 3571, ""count"": 200, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					51	Centipede	"{""index"": 4198, ""map"": ""D803"", ""xy"": {""x"": 56, ""y"": 54}, ""region_index"": 444, ""region_name"": ""D803 / Whole Map"", ""region_size"": 3179, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					52	Butterfly Worm	"{""index"": 4199, ""map"": ""D803"", ""xy"": {""x"": 56, ""y"": 54}, ""region_index"": 444, ""region_name"": ""D803 / Whole Map"", ""region_size"": 3179, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					50	Wasp Hatchling	"{""index"": 4200, ""map"": ""D803"", ""xy"": {""x"": 56, ""y"": 54}, ""region_index"": 444, ""region_name"": ""D803 / Whole Map"", ""region_size"": 3179, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					53	Mutant Maggot	"{""index"": 4201, ""map"": ""D803"", ""xy"": {""x"": 56, ""y"": 54}, ""region_index"": 444, ""region_name"": ""D803 / Whole Map"", ""region_size"": 3179, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					54	Earwig	"{""index"": 4202, ""map"": ""D803"", ""xy"": {""x"": 56, ""y"": 54}, ""region_index"": 444, ""region_name"": ""D803 / Whole Map"", ""region_size"": 3179, ""count"": 100, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					51	Centipede	"{""index"": 4203, ""map"": ""D803"", ""xy"": {""x"": 93, ""y"": 69}, ""region_index"": 451, ""region_name"": ""D803 / Respawn Area 1"", ""region_size"": 188, ""count"": 15, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					52	Butterfly Worm	"{""index"": 4204, ""map"": ""D803"", ""xy"": {""x"": 93, ""y"": 69}, ""region_index"": 451, ""region_name"": ""D803 / Respawn Area 1"", ""region_size"": 188, ""count"": 15, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					50	Wasp Hatchling	"{""index"": 4205, ""map"": ""D803"", ""xy"": {""x"": 93, ""y"": 69}, ""region_index"": 451, ""region_name"": ""D803 / Respawn Area 1"", ""region_size"": 188, ""count"": 15, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					53	Mutant Maggot	"{""index"": 4206, ""map"": ""D803"", ""xy"": {""x"": 93, ""y"": 69}, ""region_index"": 451, ""region_name"": ""D803 / Respawn Area 1"", ""region_size"": 188, ""count"": 15, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					54	Earwig	"{""index"": 4207, ""map"": ""D803"", ""xy"": {""x"": 93, ""y"": 69}, ""region_index"": 451, ""region_name"": ""D803 / Respawn Area 1"", ""region_size"": 188, ""count"": 5, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					51	Centipede	"{""index"": 4208, ""map"": ""D804"", ""xy"": {""x"": 58, ""y"": 57}, ""region_index"": 452, ""region_name"": ""D804 / Whole Map"", ""region_size"": 3161, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					52	Butterfly Worm	"{""index"": 4209, ""map"": ""D804"", ""xy"": {""x"": 58, ""y"": 57}, ""region_index"": 452, ""region_name"": ""D804 / Whole Map"", ""region_size"": 3161, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					50	Wasp Hatchling	"{""index"": 4210, ""map"": ""D804"", ""xy"": {""x"": 58, ""y"": 57}, ""region_index"": 452, ""region_name"": ""D804 / Whole Map"", ""region_size"": 3161, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					53	Mutant Maggot	"{""index"": 4211, ""map"": ""D804"", ""xy"": {""x"": 58, ""y"": 57}, ""region_index"": 452, ""region_name"": ""D804 / Whole Map"", ""region_size"": 3161, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					54	Earwig	"{""index"": 4212, ""map"": ""D804"", ""xy"": {""x"": 58, ""y"": 57}, ""region_index"": 452, ""region_name"": ""D804 / Whole Map"", ""region_size"": 3161, ""count"": 100, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					51	Centipede	"{""index"": 4223, ""map"": ""D805"", ""xy"": {""x"": 51, ""y"": 55}, ""region_index"": 90, ""region_name"": ""D805 / Whole Map"", ""region_size"": 3889, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					52	Butterfly Worm	"{""index"": 4224, ""map"": ""D805"", ""xy"": {""x"": 51, ""y"": 55}, ""region_index"": 90, ""region_name"": ""D805 / Whole Map"", ""region_size"": 3889, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					50	Wasp Hatchling	"{""index"": 4225, ""map"": ""D805"", ""xy"": {""x"": 51, ""y"": 55}, ""region_index"": 90, ""region_name"": ""D805 / Whole Map"", ""region_size"": 3889, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					53	Mutant Maggot	"{""index"": 4226, ""map"": ""D805"", ""xy"": {""x"": 51, ""y"": 55}, ""region_index"": 90, ""region_name"": ""D805 / Whole Map"", ""region_size"": 3889, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					54	Earwig	"{""index"": 4227, ""map"": ""D805"", ""xy"": {""x"": 51, ""y"": 55}, ""region_index"": 90, ""region_name"": ""D805 / Whole Map"", ""region_size"": 3889, ""count"": 100, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					51	Centipede	"{""index"": 4228, ""map"": ""D805"", ""xy"": {""x"": 51, ""y"": 55}, ""region_index"": 90, ""region_name"": ""D805 / Whole Map"", ""region_size"": 3889, ""count"": 15, ""delay"": 15, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					52	Butterfly Worm	"{""index"": 4229, ""map"": ""D805"", ""xy"": {""x"": 66, ""y"": 73}, ""region_index"": 463, ""region_name"": ""D805 / Respawn Area "", ""region_size"": 1036, ""count"": 15, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					50	Wasp Hatchling	"{""index"": 4230, ""map"": ""D805"", ""xy"": {""x"": 66, ""y"": 73}, ""region_index"": 463, ""region_name"": ""D805 / Respawn Area "", ""region_size"": 1036, ""count"": 15, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					53	Mutant Maggot	"{""index"": 4231, ""map"": ""D805"", ""xy"": {""x"": 66, ""y"": 73}, ""region_index"": 463, ""region_name"": ""D805 / Respawn Area "", ""region_size"": 1036, ""count"": 15, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					54	Earwig	"{""index"": 4232, ""map"": ""D805"", ""xy"": {""x"": 66, ""y"": 73}, ""region_index"": 463, ""region_name"": ""D805 / Respawn Area "", ""region_size"": 1036, ""count"": 5, ""delay"": 15, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					55	Iron Lance	"{""index"": 4236, ""map"": ""D805"", ""xy"": {""x"": 51, ""y"": 55}, ""region_index"": 90, ""region_name"": ""D805 / Whole Map"", ""region_size"": 3889, ""count"": 2, ""delay"": 30, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					38	Ant Soldier	"{""index"": 4237, ""map"": ""D401"", ""xy"": null, ""region_index"": 464, ""region_name"": ""D401 / Whole Map"", ""region_size"": 7460, ""count"": 160, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					40	Ant Needler	"{""index"": 4238, ""map"": ""D401"", ""xy"": null, ""region_index"": 464, ""region_name"": ""D401 / Whole Map"", ""region_size"": 7460, ""count"": 40, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					41	Armoured Ant	"{""index"": 4239, ""map"": ""D402"", ""xy"": null, ""region_index"": 469, ""region_name"": ""D402 / Whole Map"", ""region_size"": 6590, ""count"": 50, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					38	Ant Soldier	"{""index"": 4240, ""map"": ""D402"", ""xy"": null, ""region_index"": 469, ""region_name"": ""D402 / Whole Map"", ""region_size"": 6590, ""count"": 240, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					40	Ant Needler	"{""index"": 4241, ""map"": ""D402"", ""xy"": null, ""region_index"": 469, ""region_name"": ""D402 / Whole Map"", ""region_size"": 6590, ""count"": 60, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					41	Armoured Ant	"{""index"": 4242, ""map"": ""D403"", ""xy"": null, ""region_index"": 478, ""region_name"": ""D403 / Whole Map"", ""region_size"": 7532, ""count"": 200, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					38	Ant Soldier	"{""index"": 4243, ""map"": ""D403"", ""xy"": null, ""region_index"": 478, ""region_name"": ""D403 / Whole Map"", ""region_size"": 7532, ""count"": 180, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					40	Ant Needler	"{""index"": 4244, ""map"": ""D403"", ""xy"": null, ""region_index"": 478, ""region_name"": ""D403 / Whole Map"", ""region_size"": 7532, ""count"": 80, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					39	Ant Healer	"{""index"": 4245, ""map"": ""D403"", ""xy"": null, ""region_index"": 478, ""region_name"": ""D403 / Whole Map"", ""region_size"": 7532, ""count"": 20, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					41	Armoured Ant	"{""index"": 4246, ""map"": ""D404"", ""xy"": null, ""region_index"": 490, ""region_name"": ""D404 / Whole Map"", ""region_size"": 7545, ""count"": 250, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					38	Ant Soldier	"{""index"": 4247, ""map"": ""D404"", ""xy"": null, ""region_index"": 490, ""region_name"": ""D404 / Whole Map"", ""region_size"": 7545, ""count"": 225, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					40	Ant Needler	"{""index"": 4248, ""map"": ""D404"", ""xy"": null, ""region_index"": 490, ""region_name"": ""D404 / Whole Map"", ""region_size"": 7545, ""count"": 120, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					39	Ant Healer	"{""index"": 4249, ""map"": ""D404"", ""xy"": null, ""region_index"": 490, ""region_name"": ""D404 / Whole Map"", ""region_size"": 7545, ""count"": 40, ""delay"": 1, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					42	Ant Commander	"{""index"": 4250, ""map"": ""D404"", ""xy"": null, ""region_index"": 490, ""region_name"": ""D404 / Whole Map"", ""region_size"": 7545, ""count"": 2, ""delay"": 30, ""respawn_index"": 0}"		pending	pending	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					31	Cave Maggot	"{""index"": 4272, ""map"": ""D202"", ""xy"": {""x"": 110, ""y"": 109}, ""region_index"": 507, ""region_name"": ""D202 / Whole Map"", ""region_size"": 9356, ""count"": 60, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					32	GhostSorcerer	"{""index"": 4273, ""map"": ""D202"", ""xy"": {""x"": 110, ""y"": 109}, ""region_index"": 507, ""region_name"": ""D202 / Whole Map"", ""region_size"": 9356, ""count"": 80, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					33	Ghost Mage	"{""index"": 4274, ""map"": ""D202"", ""xy"": {""x"": 110, ""y"": 109}, ""region_index"": 507, ""region_name"": ""D202 / Whole Map"", ""region_size"": 9356, ""count"": 100, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					35	Devouring Ghost	"{""index"": 4275, ""map"": ""D202"", ""xy"": {""x"": 110, ""y"": 109}, ""region_index"": 507, ""region_name"": ""D202 / Whole Map"", ""region_size"": 9356, ""count"": 175, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					36	Corpse Raising Ghost	"{""index"": 4276, ""map"": ""D202"", ""xy"": {""x"": 110, ""y"": 109}, ""region_index"": 507, ""region_name"": ""D202 / Whole Map"", ""region_size"": 9356, ""count"": 175, ""delay"": 1, ""respawn_index"": 0}"		pending	fail	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
