hero_kill_monster_id	hero_kill_monster_name	legacy_atlas_entry	hero_kill_definition	current_monster_info	zircon_catalog_entry	image_shape_evidence	evidence_status	mapping_is_identity_not_translation
11	祖玛雕像0	"{""index"": 11, ""name"": ""祖玛雕像0"", ""level"": ""45"", ""hp"": ""2800"", ""dc"": ""37-55"", ""exp"": ""1200"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 11, ""Name"": ""祖玛雕像0"", ""Appr"": 101, ""Race"": 47, ""RaceImg"": 83, ""Level"": 45, ""HP"": 2800, ""Exp"": 1200, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 12, ""DCMin"": 37, ""DCMax"": 55, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 101, ""race"": 47, ""race_img"": 83, ""library_file"": ""Mon-10.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
12	祖玛教主	"{""index"": 12, ""name"": ""祖玛教主"", ""level"": ""94"", ""hp"": ""14000"", ""dc"": ""70-175"", ""exp"": ""10500"", ""tag"": ""changed"", ""note"": ""changed → Zuma King (id=81)""}"	"{""Index"": 12, ""Name"": ""祖玛教主"", ""Appr"": 102, ""Race"": 49, ""RaceImg"": 85, ""Level"": 94, ""HP"": 14000, ""Exp"": 10500, ""ACMin"": 65, ""ACMax"": 65, ""MAC"": 120, ""DCMin"": 70, ""DCMax"": 175, ""DropTable"": 10, ""tag"": ""changed"", ""tag_note"": ""→ Zuma King (id=81)""}"	"{""index"": 81, ""name"": ""Zuma King"", ""image"": ""ZumaKing"", ""level"": 250, ""is_boss"": true, ""stats"": {""Health"": 21000, ""MinAC"": 54, ""MaxAC"": 54, ""MinMR"": 61, ""MaxMR"": 61, ""MinDC"": 255, ""MaxDC"": 360, ""Accuracy"": 40, ""Agility"": 48}}"	"{""id"": 81, ""name"": ""Zuma King"", ""level"": 250, ""stats"": ""性：生命 +21000 · 物防 54-54 · 魔防 61-61 · 物攻 255-360 · 命中 +40 · 敏捷 +48 · 火抗 +3 · 冰抗 +4 · 雷抗 +5 · 风抗 +5 · 神圣抗性 +5 · 暗黑抗性 +2 · 幻影抗性 +3 · 火亲和 +1"", ""feat"": ""征：Boss、亡灵、可推动 · 视野 11 · 攻击间隔 900ms · 经验 780000""}"	"{""legacy"": {""appr"": 102, ""race"": 49, ""race_img"": 85, ""library_file"": ""Mon-10.wil"", ""frame"": 2040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": {""monster_image"": ""ZumaKing"", ""enum_value"": 95, ""library_file"": ""Mon_9"", ""shape"": 5}, ""status"": ""resolved""}"	legacy-atlas-changed-confirmed	True
13	蝎蛇	"{""index"": 13, ""name"": ""蝎蛇"", ""level"": ""30"", ""hp"": ""1440"", ""dc"": ""24-36"", ""exp"": ""280"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 13, ""Name"": ""蝎蛇"", ""Appr"": 81, ""Race"": 19, ""RaceImg"": 79, ""Level"": 30, ""HP"": 1440, ""Exp"": 280, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 8, ""DCMin"": 24, ""DCMax"": 36, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 81, ""race"": 19, ""race_img"": 79, ""library_file"": ""Mon-8.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
14	七点白蛇	"{""index"": 14, ""name"": ""七点白蛇"", ""level"": ""71"", ""hp"": ""800"", ""dc"": ""44-66"", ""exp"": ""400"", ""tag"": ""old-only"", ""note"": ""old-only 老版 lvl=71/HP 800；Zircon 无对应名""}"	"{""Index"": 14, ""Name"": ""七点白蛇"", ""Appr"": 97, ""Race"": 19, ""RaceImg"": 126, ""Level"": 71, ""HP"": 800, ""Exp"": 400, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 10, ""DCMin"": 44, ""DCMax"": 66, ""DropTable"": 10, ""tag"": ""old-only"", ""tag_note"": ""老版 lvl=71/HP 800；Zircon 无对应名""}"			"{""legacy"": {""appr"": 97, ""race"": 19, ""race_img"": 126, ""library_file"": ""Mon-9.wil"", ""frame"": 7040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
15	潘夜云魔	"{""index"": 15, ""name"": ""潘夜云魔"", ""level"": ""45"", ""hp"": ""2600"", ""dc"": ""37-56"", ""exp"": ""1200"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 15, ""Name"": ""潘夜云魔"", ""Appr"": 216, ""Race"": 19, ""RaceImg"": 134, ""Level"": 45, ""HP"": 2600, ""Exp"": 1200, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 11, ""DCMin"": 37, ""DCMax"": 56, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 216, ""race"": 19, ""race_img"": 134, ""library_file"": ""Mon-21.wil"", ""frame"": 6040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
16	石像狮子98	"{""index"": 16, ""name"": ""石像狮子98"", ""level"": ""49"", ""hp"": ""3800"", ""dc"": ""50-60"", ""exp"": ""1300"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 16, ""Name"": ""石像狮子98"", ""Appr"": 221, ""Race"": 19, ""RaceImg"": 160, ""Level"": 49, ""HP"": 3800, ""Exp"": 1300, ""ACMin"": 14, ""ACMax"": 14, ""MAC"": 27, ""DCMin"": 50, ""DCMax"": 60, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 221, ""race"": 19, ""race_img"": 160, ""library_file"": ""Mon-22.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
17	食人花	"{""index"": 17, ""name"": ""食人花"", ""level"": ""10"", ""hp"": ""21"", ""dc"": ""2-8"", ""exp"": ""21"", ""tag"": ""old-only"", ""note"": ""old-only 老版 lvl=10/HP 21；Zircon 无对应名""}"	"{""Index"": 17, ""Name"": ""食人花"", ""Appr"": 85, ""Race"": 13, ""RaceImg"": 31, ""Level"": 10, ""HP"": 21, ""Exp"": 21, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 2, ""DCMax"": 8, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版 lvl=10/HP 21；Zircon 无对应名""}"			"{""legacy"": {""appr"": 85, ""race"": 13, ""race_img"": 31, ""library_file"": ""Mon-8.wil"", ""frame"": 5040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
18	暗黑战士	"{""index"": 18, ""name"": ""暗黑战士"", ""level"": ""25"", ""hp"": ""320"", ""dc"": ""14-28"", ""exp"": ""240"", ""tag"": ""old-only"", ""note"": ""old-only 老版 lvl=25/HP 320；Zircon 无对应名""}"	"{""Index"": 18, ""Name"": ""暗黑战士"", ""Appr"": 93, ""Race"": 22, ""RaceImg"": 46, ""Level"": 25, ""HP"": 320, ""Exp"": 240, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 14, ""DCMax"": 28, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版 lvl=25/HP 320；Zircon 无对应名""}"			"{""legacy"": {""appr"": 93, ""race"": 22, ""race_img"": 46, ""library_file"": ""Mon-9.wil"", ""frame"": 3040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
19	暗黑战士0	"{""index"": 19, ""name"": ""暗黑战士0"", ""level"": ""25"", ""hp"": ""320"", ""dc"": ""14-28"", ""exp"": ""240"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 19, ""Name"": ""暗黑战士0"", ""Appr"": 93, ""Race"": 22, ""RaceImg"": 46, ""Level"": 25, ""HP"": 320, ""Exp"": 240, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 14, ""DCMax"": 28, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 93, ""race"": 22, ""race_img"": 46, ""library_file"": ""Mon-9.wil"", ""frame"": 3040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
20	暗黑战士40	"{""index"": 20, ""name"": ""暗黑战士40"", ""level"": ""25"", ""hp"": ""320"", ""dc"": ""35-100"", ""exp"": ""240"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 20, ""Name"": ""暗黑战士40"", ""Appr"": 93, ""Race"": 22, ""RaceImg"": 46, ""Level"": 25, ""HP"": 320, ""Exp"": 240, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 13, ""DCMin"": 35, ""DCMax"": 100, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 93, ""race"": 22, ""race_img"": 46, ""library_file"": ""Mon-9.wil"", ""frame"": 3040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
21	八脚首领	"{""index"": 21, ""name"": ""八脚首领"", ""level"": ""76"", ""hp"": ""5000"", ""dc"": ""49-77"", ""exp"": ""2000"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 21, ""Name"": ""八脚首领"", ""Appr"": 97, ""Race"": 19, ""RaceImg"": 112, ""Level"": 76, ""HP"": 5000, ""Exp"": 2000, ""ACMin"": 16, ""ACMax"": 16, ""MAC"": 19, ""DCMin"": 49, ""DCMax"": 77, ""DropTable"": 10, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 97, ""race"": 19, ""race_img"": 112, ""library_file"": ""Mon-9.wil"", ""frame"": 7040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
22	霸群雕像	"{""index"": 22, ""name"": ""霸群雕像"", ""level"": ""100"", ""hp"": ""20"", ""dc"": ""0-0"", ""exp"": ""3000"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 22, ""Name"": ""霸群雕像"", ""Appr"": 209, ""Race"": 19, ""RaceImg"": 187, ""Level"": 100, ""HP"": 20, ""Exp"": 3000, ""ACMin"": 35, ""ACMax"": 35, ""MAC"": 180, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 209, ""race"": 19, ""race_img"": 187, ""library_file"": ""Mon-20.wil"", ""frame"": 9040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
23	霸王教主	"{""index"": 23, ""name"": ""霸王教主"", ""level"": ""96"", ""hp"": ""20000"", ""dc"": ""145-245"", ""exp"": ""12000"", ""tag"": ""changed"", ""note"": ""changed → Emperor Sa'Woo (id=115)""}"	"{""Index"": 23, ""Name"": ""霸王教主"", ""Appr"": 226, ""Race"": 19, ""RaceImg"": 120, ""Level"": 96, ""HP"": 20000, ""Exp"": 12000, ""ACMin"": 63, ""ACMax"": 63, ""MAC"": 104, ""DCMin"": 145, ""DCMax"": 245, ""DropTable"": 10, ""tag"": ""changed"", ""tag_note"": ""→ Emperor Sa'Woo (id=115)""}"	"{""index"": 115, ""name"": ""Emperor Sa'Woo"", ""image"": ""EmperorSaWoo"", ""level"": 250, ""is_boss"": true, ""stats"": {""Health"": 21000, ""MinAC"": 54, ""MaxAC"": 54, ""MinMR"": 61, ""MaxMR"": 61, ""MinDC"": 255, ""MaxDC"": 360, ""Accuracy"": 40, ""Agility"": 48}}"	"{""id"": 115, ""name"": ""Emperor Sa'Woo"", ""level"": 250, ""stats"": ""性：生命 +21000 · 物防 54-54 · 魔防 61-61 · 物攻 255-360 · 命中 +40 · 敏捷 +48 · 火抗 +5 · 冰抗 +3 · 雷抗 +5 · 风抗 +4 · 神圣抗性 +2 · 暗黑抗性 +5 · 幻影抗性 +3 · 风亲和 +1"", ""feat"": ""征：Boss、亡灵、可推动 · 视野 10 · 攻击间隔 900ms · 经验 585000""}"	"{""legacy"": {""appr"": 226, ""race"": 19, ""race_img"": 120, ""library_file"": ""Mon-22.wil"", ""frame"": 6040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": {""monster_image"": ""EmperorSaWoo"", ""enum_value"": 149, ""library_file"": ""Mon_14"", ""shape"": 9}, ""status"": ""resolved""}"	legacy-atlas-changed-confirmed	True
24	霸王守卫	"{""index"": 24, ""name"": ""霸王守卫"", ""level"": ""80"", ""hp"": ""10000"", ""dc"": ""187-253"", ""exp"": ""4000"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 24, ""Name"": ""霸王守卫"", ""Appr"": 230, ""Race"": 19, ""RaceImg"": 10, ""Level"": 80, ""HP"": 10000, ""Exp"": 4000, ""ACMin"": 44, ""ACMax"": 44, ""MAC"": 118, ""DCMin"": 187, ""DCMax"": 253, ""DropTable"": 10, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 230, ""race"": 19, ""race_img"": 10, ""library_file"": ""Mon-23.wil"", ""frame"": 40, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
25	霸王守卫9	"{""index"": 25, ""name"": ""霸王守卫9"", ""level"": ""80"", ""hp"": ""10000"", ""dc"": ""165-220"", ""exp"": ""4000"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 25, ""Name"": ""霸王守卫9"", ""Appr"": 230, ""Race"": 19, ""RaceImg"": 10, ""Level"": 80, ""HP"": 10000, ""Exp"": 4000, ""ACMin"": 33, ""ACMax"": 33, ""MAC"": 42, ""DCMin"": 165, ""DCMax"": 220, ""DropTable"": 10, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 230, ""race"": 19, ""race_img"": 10, ""library_file"": ""Mon-23.wil"", ""frame"": 40, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
