table	action	start	frame	skip	ftime	usetick	src_line
MA20	ActDie	260	10	0	100	0	196
MA20	ActDeath	340	10	0	170	0	197
MA21	ActStand	0	4	6	200	0	200
MA21	ActWalk	0	0	0	0	0	201
MA21	ActAttack	10	6	4	120	0	202
MA21	ActCritical	0	0	0	0	0	203
MA21	ActStruck	20	2	0	100	0	204
MA21	ActDie	30	10	0	160	0	205
MA21	ActDeath	0	0	0	0	0	206
MA22	ActStand	80	4	6	200	0	209
MA22	ActWalk	160	6	4	160	3	210
MA22	ActAttack	240	6	4	100	0	211
MA22	ActCritical	0	0	0	0	0	212
MA22	ActStruck	320	2	0	100	0	213
MA22	ActDie	340	10	0	160	0	214
MA22	ActDeath	0	6	4	170	0	215
MA23	ActStand	20	4	6	200	0	218
MA23	ActWalk	100	6	4	160	3	219
MA23	ActAttack	180	6	4	100	0	220
MA23	ActCritical	0	0	0	0	0	221
MA23	ActStruck	260	2	0	100	0	222
MA23	ActDie	280	10	0	160	0	223
MA23	ActDeath	0	20	0	100	0	224
MA24	ActStand	0	4	6	200	0	227
MA24	ActWalk	80	6	4	160	3	228
MA24	ActAttack	160	6	4	100	0	229
MA24	ActCritical	240	6	4	100	0	230
MA24	ActStruck	320	2	0	100	0	231
MA24	ActDie	340	10	0	140	0	232
MA24	ActDeath	420	1	0	140	0	233
MA25	ActStand	0	4	6	200	0	236
MA25	ActWalk	70	10	0	200	3	237
MA25	ActAttack	20	6	4	120	0	238
MA25	ActCritical	10	6	4	120	0	239
MA25	ActStruck	50	2	0	100	0	240
MA25	ActDie	60	10	0	200	0	241
MA25	ActDeath	80	10	0	200	3	242
MA26	ActStand	0	1	7	200	0	245
MA26	ActWalk	0	0	0	160	0	246
MA26	ActAttack	56	6	2	500	0	247
MA26	ActCritical	64	6	2	500	0	248
MA26	ActStruck	0	4	4	100	0	249
MA26	ActDie	24	10	0	120	0	250
MA26	ActDeath	0	0	0	150	0	251
MA27	ActStand	0	1	7	200	0	254
MA27	ActWalk	0	0	0	160	0	255
MA27	ActAttack	0	0	0	250	0	256
MA27	ActCritical	0	0	0	250	0	257
MA27	ActStruck	0	0	0	100	0	258
MA27	ActDie	0	10	0	120	0	259
MA27	ActDeath	0	0	0	150	0	260
MA28	ActStand	80	4	6	200	0	263
MA28	ActWalk	160	6	4	160	3	264
MA28	ActAttack	0	6	4	100	0	265
MA28	ActCritical	0	0	0	0	0	266
MA28	ActStruck	240	2	0	100	0	267
MA28	ActDie	260	10	0	120	0	268
MA28	ActDeath	0	10	0	100	0	269
MA29	ActStand	80	4	6	200	0	272
MA29	ActWalk	160	6	4	160	3	273
MA29	ActAttack	240	6	4	100	0	274
MA29	ActCritical	0	10	0	100	0	275
MA29	ActStruck	320	2	0	100	0	276
MA29	ActDie	340	10	0	120	0	277
MA29	ActDeath	0	10	0	100	0	278
MA30	ActStand	0	4	6	200	0	282
MA30	ActWalk	0	10	0	200	3	283
MA30	ActAttack	10	6	4	120	0	284
MA30	ActCritical	10	6	4	120	0	285
MA30	ActStruck	20	2	0	100	0	286
MA30	ActDie	30	20	0	150	0	287
MA30	ActDeath	0	10	0	200	3	288
MA31	ActStand	0	4	6	200	0	291
MA31	ActWalk	0	10	0	200	3	292
MA31	ActAttack	10	6	4	120	0	293
MA31	ActCritical	0	6	4	120	0	294
MA31	ActStruck	0	2	8	100	0	295
MA31	ActDie	20	10	0	200	0	296
MA31	ActDeath	0	10	0	200	3	297
MA32	ActStand	0	1	9	200	0	300
MA32	ActWalk	0	6	4	200	3	301
MA32	ActAttack	0	6	4	120	0	302
MA32	ActCritical	0	6	4	120	0	303
MA32	ActStruck	0	2	8	100	0	304
MA32	ActDie	80	10	0	80	0	305
MA32	ActDeath	80	10	0	200	3	306
MA33	ActStand	0	4	6	200	0	309
MA33	ActWalk	80	6	4	200	3	310
MA33	ActAttack	160	6	4	120	0	311
MA33	ActCritical	340	6	4	120	0	312
MA33	ActStruck	240	2	0	100	0	313
MA33	ActDie	260	10	0	200	0	314
MA33	ActDeath	260	10	0	200	0	315
MA34	ActStand	0	4	6	200	0	319
MA34	ActWalk	80	6	4	200	3	320
MA34	ActAttack	160	6	4	120	0	321
MA34	ActCritical	320	6	4	120	0	322
MA34	ActStruck	400	2	0	100	0	323
MA34	ActDie	420	20	0	200	0	324
MA34	ActDeath	420	20	0	200	0	325
MA50	ActStand	0	4	6	200	0	328
MA50	ActWalk	0	0	0	0	0	329
MA50	ActAttack	30	10	0	150	0	330
MA50	ActCritical	0	0	0	0	0	331
MA50	ActStruck	0	1	9	0	0	332
MA50	ActDie	0	0	0	0	0	333
MA50	ActDeath	0	0	0	0	0	334
MA51	ActStand	0	4	6	200	0	337
MA51	ActWalk	0	0	0	0	0	338
MA51	ActAttack	30	20	0	150	0	339
MA51	ActCritical	0	0	0	0	0	340
MA51	ActStruck	0	1	9	0	0	341
MA51	ActDie	0	0	0	0	0	342
MA51	ActDeath	0	0	0	0	0	343
MA52	ActStand	30	4	6	200	0	346
MA52	ActWalk	0	0	0	0	0	347
MA52	ActAttack	30	4	6	150	0	348
MA52	ActCritical	0	0	0	0	0	349
MA52	ActStruck	0	1	9	0	0	350
MA52	ActDie	0	0	0	0	0	351
MA52	ActDeath	0	0	0	0	0	352
MA53	ActStand	0	4	6	200	0	356
MA53	ActWalk	0	0	0	0	0	357
MA53	ActAttack	80	6	4	150	0	358
MA53	ActCritical	0	0	0	0	0	359
MA53	ActStruck	0	0	0	0	0	360
MA53	ActDie	0	0	0	0	0	361
MA53	ActDeath	0	0	0	0	0	362
MA54	ActStand	0	4	6	300	0	365
MA54	ActWalk	0	0	0	0	0	366
MA54	ActAttack	10	6	4	150	0	367
MA54	ActCritical	0	0	0	0	0	368
MA54	ActStruck	20	2	0	150	0	369
MA54	ActDie	30	10	0	80	0	370
MA54	ActDeath	0	0	0	0	0	371
MA55	ActStand	0	4	6	250	0	374
MA55	ActWalk	80	6	4	210	3	375
MA55	ActAttack	160	6	4	110	0	376
MA55	ActCritical	580	20	0	135	0	377
MA55	ActStruck	240	2	0	120	0	378
MA55	ActDie	260	20	0	130	0	379
MA55	ActDeath	260	20	0	130	0	380
MA56	ActStand	0	2	8	200	0	383
MA56	ActWalk	0	2	8	200	0	384
MA56	ActAttack	0	2	8	200	0	385
MA56	ActCritical	0	2	8	200	0	386
MA56	ActStruck	0	2	8	200	0	387
MA56	ActDie	0	2	8	200	0	388
MA56	ActDeath	0	2	8	200	0	389
MA57	ActStand	0	4	6	200	0	392
MA57	ActWalk	10	8	2	160	0	393
MA57	ActAttack	0	0	0	0	0	394
MA57	ActCritical	0	0	0	0	0	395
MA57	ActStruck	0	0	0	0	0	396
MA57	ActDie	30	10	0	120	0	399
MA57	ActDeath	30	10	0	150	0	400
MA58	ActStand	0	4	6	200	0	403
MA58	ActWalk	80	6	4	160	0	404
MA58	ActAttack	160	6	4	160	0	405
MA58	ActCritical	160	6	4	160	0	406
MA58	ActStruck	240	2	0	150	0	407
MA58	ActDie	260	10	0	120	0	408
MA58	ActDeath	340	10	0	100	0	409
MA59	ActStand	0	10	0	300	0	412
MA59	ActWalk	10	6	4	150	0	413
MA59	ActAttack	20	6	4	150	0	414
MA59	ActCritical	40	10	0	150	0	415
MA59	ActStruck	40	2	8	150	0	416
MA59	ActDie	30	6	4	150	0	417
MA59	ActDeath	0	0	0	0	0	418
MA60	ActStand	0	10	0	300	0	421
MA60	ActWalk	0	10	0	300	0	422
MA60	ActAttack	10	10	0	300	0	423
MA60	ActCritical	10	10	0	100	0	424
MA60	ActStruck	0	1	9	300	0	425
MA60	ActDie	0	1	9	300	0	426
MA60	ActDeath	0	1	9	300	0	427
MA61	ActStand	0	20	0	100	0	430
MA61	ActWalk	0	0	0	0	0	431
MA61	ActAttack	0	0	0	0	0	432
MA61	ActCritical	0	0	0	0	0	433
MA61	ActStruck	0	0	0	0	0	434
MA61	ActDie	0	0	0	0	0	435
MA61	ActDeath	0	0	0	0	0	436
MA62	ActStand	0	4	6	250	0	439
MA62	ActWalk	80	6	4	100	3	440
MA62	ActAttack	160	6	4	110	0	441
MA62	ActCritical	340	6	4	150	0	442
MA62	ActStruck	240	2	0	120	0	443
MA62	ActDie	260	10	0	90	0	444
MA62	ActDeath	420	1	0	140	0	445
MA63	ActStand	0	2	8	1000	0	448
MA63	ActWalk	0	2	8	1000	0	449
MA63	ActAttack	0	2	8	1000	0	450
MA63	ActCritical	0	2	8	1000	0	451
MA63	ActStruck	10	6	4	150	0	452
MA63	ActDie	20	2	8	1000	0	453
MA63	ActDeath	20	2	8	1000	0	454
MA64	ActStand	0	4	6	200	0	457
MA64	ActWalk	10	4	6	200	0	458
MA64	ActAttack	20	6	4	120	0	459
MA64	ActCritical	20	6	4	120	0	460
MA64	ActStruck	30	2	8	100	0	461
MA64	ActDie	40	10	0	120	0	462
MA64	ActDeath	40	10	0	120	0	463
MA65	ActStand	0	10	0	150	0	466
MA65	ActWalk	10	10	0	150	0	467
MA65	ActAttack	20	10	0	150	0	468
MA65	ActCritical	20	10	0	150	0	469
MA65	ActStruck	30	4	6	100	0	470
MA65	ActDie	40	10	0	150	0	471
MA65	ActDeath	40	10	0	150	0	472
MA66	ActStand	0	20	0	150	0	475
MA66	ActWalk	0	20	0	150	3	476
MA66	ActAttack	20	10	0	150	0	477
MA66	ActCritical	20	10	0	150	0	478
MA66	ActStruck	30	2	8	100	0	479
MA66	ActDie	400	18	0	150	0	480
MA66	ActDeath	400	18	0	150	0	481
MA67	ActStand	0	4	6	150	0	484
MA67	ActWalk	0	4	6	150	3	485
MA67	ActAttack	10	4	6	300	0	486
MA67	ActCritical	10	4	6	300	0	487
MA67	ActStruck	0	4	6	150	0	488
MA67	ActDie	0	4	6	300	0	489
MA67	ActDeath	0	4	6	300	0	490
MA68	ActStand	0	4	6	150	0	493
MA68	ActWalk	0	4	6	150	3	494
MA68	ActAttack	0	4	6	150	0	495
MA68	ActCritical	0	4	6	150	0	496
MA68	ActStruck	0	4	6	150	0	497
MA68	ActDie	0	4	6	150	0	498
MA68	ActDeath	0	4	6	150	0	499
MA69	ActStand	0	4	6	150	0	502
MA69	ActWalk	0	4	6	150	0	503
MA69	ActAttack	0	4	6	150	0	504
MA69	ActCritical	0	10	0	150	0	505
MA69	ActStruck	10	2	8	150	0	506
MA69	ActDie	20	6	4	150	0	507
MA69	ActDeath	20	6	4	150	0	508
