line	english	korean_aliases	handler
23875	ChangeJob		CmdChangeJob
23881	ChangeGender		CmdChangeSex
23886	LuckyPoint		SysMsg / BodyLuck / BodyLuckLevel
23896	attack		CmdCallMakeMonster
23903	Mob		CmdCallMakeMonster
23907	RecallMob		CmdCallMakeSlaveMonster
23911		복권	SysMsg
23923	ReloadGuild		CmdReloadGuild
23927	ReadAbuseInformation		SysMsg
23932	Backstep		CmdRushAttack
23936		무태보	CmdRushAttack
23940	FreePenalty		CmdDeletePKPoint
23944	IncPkPoint		BodyLuck
23948	ChangeLuck		BodyLuck / SendMsg
23953	Hunger		SendMsg
23963	Training		CmdMakeFullSkill
23967	DeleteSkill		CmdEraseMagic
23971	NameColor		CmdMissionSetting
23976	Mission		CmdMissionSetting
23979	MobPlace		CmdCallMakeMonsterXY
23983	Transparency / tp		BoHumHideMode
23991	DeleteItem		CmdEraseItem
23995	Level0		
24000		퀘스트초기화	
24004	setflag		SetQuestMark / SysMsg
24017	setopen		SetQuestOpenIndexMark / SysMsg
24030	setunit		SetQuestFinIndexMark / SysMsg
24043	Reconnection		CmdReconnection
24048	Wallconquestwarmode		BoCastleWarMode / SysMsg
24056	DisableFilter		BoEnableAbusiveFilter / SysMsg
24098	OXQuizRoom		CmdTestTimeDebug
24104	TESTTIME		CmdTestTimeDebug
24112		외치기범위	CmdSetCryWide
24120	AgitReg	장원대여	CmdGuildAgitRegistration
24124	AgitMove	장원이동	CmdGuildAgitAutoMove
24128	AgitDel	장원반환	CmdGuildAgitDelete
24132	AgitExtend	장원연장	CmdGuildAgitExtendTime
24136	AgitRemain	장원기간	CmdGuildAgitRemainTime
24140	AgitRecall	문원소환	CmdGuildAgitRecall
24147	AgitSale	장원판매	CmdGuildAgitSale
24151	AgitSaleCancel	장원판매취소	CmdGuildAgitSaleCancel
24155	AgitBuy	장원구입	CmdGuildAgitBuy
24159	AgitTrade	장원거래	CmdTryGuildAgitTrade
24165	GaBoardList	게시판목록	CmdGaBoardList
24169	GaBoardRead	게시판읽기	
24173	GaBoardAdd	게시판쓰기	
24178	GaBoardDel	게시판삭제	
24182	GaBoardEdit	게시판수정	
24186	GTBoardInit	게시판초기화	
24197	Make		CmdMakeItem
24201	DelGold		CmdDeleteUserGold
24205	AddGold		CmdAddUserGold
24216		무기제련	CmdRefineWeapon
24222	ReloadAdmin		SendInterMsg / SysMsg
24228	MarketOpen		SendInterMsg / SysMsg
24234	MarketClose		CmdReloadNpc
24240	ReloadNpc		CmdReloadNpc
24245	ReloadMonItems		SysMsg
24250	ReloadDiary		CmdManLevelChange
24255	AdjustLevel		CmdManLevelChange
24259	AdjustExp		CmdManExpChange
24263	AddGuild		CmdCreateGuild
24267	DelGuild		CmdDeleteGuild
24271	ChangeSabukLord		CmdChangeUserCastleOwner
24275	ForcedWallconquestWar		BoCastleUnderAttack
24285	AddToItemEvent		SysMsg
24293	AddToItemEventAsPieces		SysMsg
24301	ItemEventList		SysMsg
24308	StartingGiftNo		SysMsg
24313	DeleteAllItemEven		SysMsg / BoUniqueItemEvent
24318	StartItemEvent		BoUniqueItemEvent / SysMsg
24324	ItemEventTerm		SysMsg
24329	AdjustTestLevel		CmdMakeOtherChangeSkillLevel
24334	OPTraining		CmdMakeOtherChangeSkillLevel
24338	OPDeleteSkill		CmdThisManEraseMagic
24341	ChangeWeaponDura		SendMsg
24351	Upgrade		CmdUpgradeItem
24355		모든보옥	CmdMakeAllJewelryItem
24359		모든신주	CmdMakeAllJewelryItem
24363	ReloadMakeItemList		SendInterMsg / SysMsg
24372		글자색	CmdLetterColor
24377	Alive		
24382		스핵체크	SysMsg / MainOutMessage
24392	AgitDecoMonCount	꾸미기개수	CmdAgitDecoMonCount
24396	AgitDecoMonCountHere	상현개수	CmdAgitDecoMonCountHere
24400	FamePoint	명성치	CmdAdjustFamePoint
24404	FameName	명성	CmdGetFameName
24409	UserMarketDebug		CmdUserMarketDebug
24415		연인해제	CmdBreakLoverRelation
24423	ReloadGuildAll		CmdReloadGuildAll
24428	ReloadGuildAgit		CmdReloadGuildAgit
24433	OneKill		CmdOneKillMob
24437	MonClear	몬클리어	CmdMonClear
