kind	name	value	hex	keyword	comment	src_line
action	QA_CHANGEGENDER	104	0x68	CHANGEGENDER		2564
action	QA_KICK	105	0x69	KICK		2565
action	QA_MOVEALLMAP	106	0x6A	MOVEALLMAP	현재 맵 유저들을 모두 특정 맵으로 이동시킴.	2566
action	QA_MOVEALLMAPGROUP	107	0x6B	MOVEALLMAPGROUP	그룹 멤버들 중에 현재 맵에 있는 멤버들만 특정 맵으로 이동시킴.	2567
action	QA_RECALLMAPGROUP	108	0x6C	RECALLMAPGROUP	그룹 멤버들 중에 특정 맵에 있는 멤버들만 현재 맵으로 이동시킴.	2568
action	QA_WEAPONUPGRADE	109	0x6D	WEAPONUPGRADE	들고 있는 무기에 옵션을 붙인다.	2569
action	QA_SETALLINMAP	110	0x6E		현재 맵에 있는 모든 유저들의 플래그를 SET한다.	2570
action	QA_INCPKPOINT	111	0x6F	INCPKPOINT	PK Point를 증가시킨다.	2571
action	QA_DECPKPOINT	112	0x70	DECPKPOINT	PK Point를 감소시킨다.	2572
action	QA_MOVETOLOVER	113	0x71	MOVETOLOVER	연인앞으로 이동한다.	2574
action	QA_BREAKLOVER	114	0x72	BREAKLOVER	연인관계를 일방적으로 해제시킨다.	2575
action	QA_SOUNDALL	115	0x73	SOUNDALL	주변사람에게 사운드를 들려줌	2576
action	QA_USEFAMEPOINT	116	0x74	USEFAMEPOINT	자신의 명성치 사용	2578
action	QA_DECWEAPONBADLUCK	117	0x75	DECWEAPONBADLUCK	저주가 붙은 무기의 저주를 1 감소 시킨다.	2579
action	QA_DECDONATION	118	0x76	DECDONATION	기부금 잔액을 감소 시킨다.	2581
action	QA_SHOWEFFECT	119	0x77	SHOWEFFECT	장원이펙트를 보여준다.	2582
action	QA_MONGENAROUND	120	0x78	MONGENAROUND	캐릭의 주위에 몬스터를 젠 시킨다.	2583
action	QA_RECALLMOB	121	0x79	RECALLMOB	부하 몬스터 소환	2584
action	QA_SETLOVERFLAG	122	0x7A	SETLOVERFLAG	연인의 플래그를 SET한다.	2586
action	QA_GUILDSECESSION	123	0x7B	GUILDSECESSION	문파탈퇴	2587
action	QA_GIVETOLOVER	124	0x7C	GIVETOLOVER	연인에게 아이템 주기	2588
action	QA_INCMEMORIALCOUNT	125	0x7D	INCMEMORIALCOUNT	NPC별 카운트 증가	2589
action	QA_DECMEMORIALCOUNT	126	0x7E	DECMEMORIALCOUNT	NPC별 카운트 감소	2590
action	QA_SAVEMEMORIALCOUNT	127	0x7F	SAVEMEMORIALCOUNT	NPC별 카운트 파일 저장	2591
action	QA_INSTANTPOWERUP	128	0x80	INSTANTPOWERUP	순간 능력치 상승	2593
action	QA_INSTANTEXPDOUBLE	129	0x81	INSTANTEXPDOUBLE	순간 경험치 2배	2594
action	QA_HEALING	130	0x82	HEALING	힐링	2595
action	QA_UNIFYITEM	131	0x83	UNIFYITEM	아이템을 합친다	2596
action	QA_MISSION	132	0x84		미션 설정	2598
action	QA_MOBPLACE	133	0x85		미션몹 배치	2599
condition	QI_CHECK	1	0x1		101이상	2445
condition	QI_RANDOM	2	0x2	RANDOM		2446
condition	QI_GENDER	3	0x3	GENDER	MAN or WOMAN	2447
condition	QI_DAYTIME	4	0x4	DAYTIME	SUNRAISE DAY SUNSET NIGHT	2448
condition	QI_CHECKOPENUNIT	5	0x5		유닛체크	2449
condition	QI_CHECKUNIT	6	0x6		유닛체크	2450
condition	QI_CHECKLEVEL	7	0x7	CHECKLEVEL		2451
condition	QI_CHECKJOB	8	0x8	CHECKJOB	Warrior, Wizard, Taoist	2452
condition	QI_CHECKITEM	20	0x14	CHECKITEM		2453
condition	QI_CHECKITEMW	21	0x15	CHECKITEMW		2454
condition	QI_CHECKGOLD	22	0x16	CHECKGOLD		2455
condition	QI_ISTAKEITEM	23	0x17	ISTAKEITEM	방금전에 받은 아이템이 무엇인지 검사	2456
condition	QI_CHECKDURA	24	0x18	CHECKDURA	아이템의 아이템의 평균 내구(dura / 1000) 검사	2457
condition	QI_CHECKDURAEVA	25	0x19	CHECKDURAEVA		2459
condition	QI_DAYOFWEEK	26	0x1A	DAYOFWEEK	요일 검사	2460
condition	QI_TIMEHOUR	27	0x1B	HOUR	시간단위 검사(0..23)	2461
condition	QI_TIMEMIN	28	0x1C	MIN	분 검사	2462
condition	QI_CHECKPKPOINT	29	0x1D	CHECKPKPOINT		2463
condition	QI_CHECKLUCKYPOINT	30	0x1E	CHECKLUCKYPOINT		2464
condition	QI_CHECKMON_MAP	31	0x1F	CHECKMONMAP	현재 맵에 몹이 있는지	2465
condition	QI_CHECKMON_AREA	32	0x20	CHECKMONAREA	특정 지역에 몹이 있는지	2466
condition	QI_CHECKHUM	33	0x21	CHECKHUM		2467
condition	QI_CHECKBAGGAGE	34	0x22	CHECKBAGGAGE	사용자에게 줄 수 있는지?	2468
condition	QI_CHECKNAMELIST	35	0x23	CHECKNAMELIST		2470
condition	QI_CHECKANDDELETENAMELIST	36	0x24	CHECK_DELETE_NAMELIST		2471
condition	QI_CHECKANDDELETEIDLIST	37	0x25	CHECK_DELETE_IDLIST		2472
condition	QI_IFGETDAILYQUEST	40	0x28	IFGETDAILYQUEST	오늘 퀘스트를 받았는지 검사, 유효기간 검사 포함	2474
condition	QI_CHECKDAILYQUEST	41	0x29	CHECKDAILYQUEST	특정 번호의 퀘스트를 수행중인지 검사, 유효기간 검사 포함	2475
condition	QI_RANDOMEX	42	0x2A	RANDOMEX	파라메타  5 100   5%임...	2476
condition	QI_CHECKMON_NORECALLMOB_MAP	43	0x2B	CHECKMONMAPNORECALL	현재 맵에 있는 몹 수(소환몹 제외)	2478
condition	QI_CHECKBAGREMAIN	44	0x2C	CHECKBAGREMAIN	유저 가방의 공간이 N개 남아 있는지	2479
condition	QI_CHECKGRADEITEM	50	0x32	CHECKGRADEITEM		2481
condition	QI_EQUALVAR	51	0x33	EQUALVAR	EQUALV D1 P1  //D1이 P1과 같은지	2483
condition	QI_EQUAL	135	0x87	EQUAL	EQUAL P1 10   //P1이 10인지	2485
condition	QI_LARGE	136	0x88	LARGE	LARGE P1 10   //P1이 10보다 큰지	2486
condition	QI_SMALL	137	0x89	SMALL	SMALL P1 10   //P1이 10보다 작은지 검사	2487
condition	QI_ISGROUPOWNER	138	0x8A	ISGROUPOWNER	그룹 소유주인지 아닌지 검사	2489
condition	QI_ISEXPUSER	139	0x8B	ISEXPUSER	체험판 사용자인지 검사	2490
condition	QI_CHECKLOVERFLAG	140	0x8C	CHECKLOVERFLAG	연인의 플래그가 TRUE인지 검사(연인정보를 찾을 수 없으면 FALSE 리턴)	2491
condition	QI_CHECKLOVERRANGE	141	0x8D	CHECKLOVERRANGE	연인이 일정 범위 안에 있는지	2492
condition	QI_CHECKLOVERDAY	142	0x8E	CHECKLOVERDAY	연인과의 교제일이 일정일 이상 되는지	2493
condition	QI_CHECKFAMEGRADE	143	0x8F	CHECKFAMEGRADE	명성 등급이 N 이상 되는지 체크	2495
condition	QI_CHECKFAMEPOINT	144	0x90	CHECKFAMEPOINT	명성 FameCur 포인트가 N 이상 되는지 체크	2496
condition	QI_CHECKFAMEBASEPOINT	145	0x91	CHECKFAMEBASEPOINT	명성 FameBase 포인트가 N 이상 되는지 체크	2497
condition	QI_CHECKDONATION	146	0x92	CHECKDONATION	현재 기부금 잔액 체크	2499
condition	QI_ISGUILDMASTER	147	0x93	ISGUILDMASTER	Guildmaster인지 체크	2500
condition	QI_CHECKWEAPONBADLUCK	148	0x94	CHECKWEAPONBADLUCK	무기의 저주 체크	2501
condition	QI_CHECKPREMIUMGRADE	149	0x95	CHECKPREMIUMGRADE	프리미엄 등급 체크	2502
condition	QI_CHECKCHILDMOB	150	0x96	CHECKCHILDMOB	소환중인 몬스터 이름으로 체크(CHECKRECALLMOB)	2503
condition	QI_CHECKGROUPJOBBALANCE	151	0x97	CHECKGROUPJOBBALANCE	그룹에 전사, 술사, 도사 수가 같은지 체크	2505
condition	QI_CHECKRANGEONELOVER	152	0x98	CHECKRANGEONELOVER	범위내에 연인인 사람이 있는지 체크	2506
condition	QI_EVENTCHECK	153	0x99	EVENTCHECK	ComeBack2005 이벤트 체크	2508
condition	QI_CHECKITEMWVALUE	154	0x9A	CHECKITEMWVALUE	착용중인 고통 아이템 기수치 체크	2509
