cls	kind	name	line	vis
TCreature	procedure	ApplySlaveLevelAbilitys	749	public
TCreature	procedure	WinExp	750	public
TCreature	procedure	HasLevelUp	751	public
TCreature	function	IncGold	752	public
TCreature	function	DecGold	753	public
TCreature	function	CalcBagWeight	754	public
TCreature	function	CalcWearWeightEx	755	public
TCreature	procedure	RecalcLevelAbilitys	756	public
TCreature	procedure	RecalcHitSpeed	758	public
TCreature	procedure	AddMagicWithItem	759	public
TCreature	procedure	DelMagicWithItem	760	public
TCreature	procedure	ItemDamageRevivalRing	761	public
TCreature	procedure	RecalcAbilitys	762	public
TCreature	function	IsGroupGenderDiffernt	763	public
TCreature	procedure	ApplyItemParameters	764	public
TCreature	procedure	ApplyItemParametersEx	766	public
TCreature	procedure	ApplyItemParametersByJob	768	public
TCreature	procedure	BanjjakApplyItemParametersByJob	770	public
TCreature	function	GetMyAbility	772	public
TCreature	function	GetNextLevelExp	773	public
TCreature	function	MakeWeaponUnlock	774	public
TCreature	procedure	TrainSkill	775	public
TCreature	function	GetMyLight	776	public
TCreature	procedure	ChangeLevel	778	public
TCreature	function	InSafeZone	779	public
TCreature	function	InGuildWarSafeZone	780	public
TCreature	function	PKLevel	781	public
TCreature	procedure	ChangeNameColor	782	public
TCreature	function	MyColor	783	public
TCreature	function	GetThisCharColor	784	public
TCreature	function	GetGuildRelation	785	public
TCreature	function	IsGuildMaster	786	public
TCreature	function	IsMyGuildMaster	787	public
TCreature	function	GetGuildNameHereAgit	788	public
TCreature	function	GetGuildMasterNameHereAgit	789	public
TCreature	procedure	IncPKPoint	790	public
TCreature	procedure	DecPKPoint	791	public
TCreature	function	GetPKTimeMin	792	public
TCreature	procedure	AddBodyLuck	793	public
TCreature	function	GetUserName	794	public
TCreature	function	GetHungryState	795	public
TCreature	function	GetQuestMark	796	public
TCreature	procedure	SetQuestMark	797	public
TCreature	function	GetQuestOpenIndexMark	798	public
TCreature	procedure	SetQuestOpenIndexMark	799	public
TCreature	function	GetQuestFinIndexMark	800	public
TCreature	procedure	SetQuestFinIndexMark	801	public
TCreature	procedure	CmdMonClear	803	public
TCreature	procedure	DoDamageWeapon	804	public
TCreature	function	GetAttackPower	805	public
TCreature	function	_Attack	806	public
TCreature	procedure	HitHit	807	public
TCreature	procedure	HitMotion	808	public
TCreature	procedure	HitHit2	809	public
TCreature	procedure	HitHitEx2	810	public
TCreature	function	CharPushed	811	public
TCreature	function	CharRushRush	812	public
TCreature	function	CharDrawingRush	813	public
TCreature	function	SiegeCount	814	public
TCreature	function	SiegeLockCount	815	public
TCreature	function	MakePoison	816	public
TCreature	procedure	ClearPoison	817	public
TCreature	function	CheckAttackRule2	818	public
TCreature	function	_IsProperTarget	819	public
TCreature	function	IsProperTarget	820	public
TCreature	function	IsProperFriend	821	public
TCreature	procedure	SelectTarget	822	public
TCreature	procedure	LoseTarget	823	public
TCreature	function	GetPurity	824	public
TCreature	function	TargetInAttackRange	826	public
TCreature	function	TargetInSpitRange	827	public
TCreature	function	TargetInCrossRange	828	public
TCreature	function	GetFrontCret	829	public
TCreature	function	GetBackCret	830	public
TCreature	function	CretInNearXY	831	public
TCreature	function	MakeSlave	832	public
TCreature	procedure	ClearAllSlaves	835	public
TCreature	procedure	KillAllSlaves	836	public
TCreature	function	ExistAttackSlaves	837	public
TCreature	function	GetExistSlave	838	public
TCreature	function	EnableRecallMob	839	public
TCreature	function	IsGroupMember	841	public
TCreature	function	CheckGroupValid	842	public
TCreature	procedure	DelGroupMember	843	public
TCreature	procedure	EnterGroup	844	public
TCreature	procedure	LeaveGroup	845	public
TCreature	procedure	DenyGroup	846	public
TCreature	function	IsEnoughBag	848	public
TCreature	procedure	WeightChanged	849	public
TCreature	procedure	GoldChanged	850	public
TCreature	procedure	HealthSpellChanged	851	public
TCreature	function	IsAddWeightAvailable	852	public
TCreature	function	FindItemName	853	public
TCreature	function	FindItemNameEx	854	public
TCreature	function	FindItemEventGrade	855	public
TCreature	function	FindItemWear	856	public
TCreature	function	CanAddItem	857	public
TCreature	function	AddItem	858	public
TCreature	function	DelItem	859	public
TCreature	function	DelItemIndex	860	public
TCreature	function	DeletePItemAndSend	861	public
TCreature	function	DeletePItemAndSendWithFlag	862	public
TCreature	function	CanTakeOn	863	public
TCreature	function	GetDropPosition	864	public
TCreature	function	GetRecallPosition	865	public
TCreature	function	DropItemDown	866	public
TCreature	function	DropGoldDown	867	public
TCreature	function	UserDropItem	868	public
TCreature	function	UserDropGold	869	public
TCreature	function	UserDropCountItem	871	public
TCreature	function	UserCounterItemAdd	872	public
TCreature	function	UserCounterDealItemAdd	873	public
TCreature	function	PickUp	874	public
TCreature	function	EatItem	875	public
TCreature	function	IsMyMagic	876	public
TCreature	function	ReadBook	877	public
TCreature	function	DoSpell	878	public
TCreature	function	GetSpellPoint	879	public
TCreature	function	MagPassThroughMagic	880	public
TCreature	function	MagCanHitTarget	881	public
TCreature	function	MagDefenceUp	882	public
TCreature	function	MagMagDefenceUp	883	public
TCreature	function	MagMakeDefenceArea	884	public
TCreature	function	MagMakeCurseArea	885	public
TCreature	function	MagDcUp	886	public
TCreature	procedure	MagCurse	887	public
TCreature	function	MagBubbleDefenceUp	888	public
TCreature	procedure	DamageBubbleDefence	889	public
TCreature	function	CheckMagicLevelup	890	public
TCreature	procedure	CheckMagicSpecialAbility	891	public
TCreature	function	GetDailyQuest	894	public
TCreature	procedure	SetDailyQuest	895	public
TCreature	procedure	DecRefObjCount	900	public
TCreature	function	ItemOptionToStr	901	public
TCreature	function	UpgradeResultToStr	902	public
TCreature	function	IsMoveAble	904	public
TCreature	procedure	ChangeItemWithLevel	905	public
TCreature	procedure	ChangeItemByJob	908	public
TCreature	procedure	BanjjakChangeItemByJob	910	public
TCreature	function	CheckUnbindItem	913	public
TCreature	procedure	DeleteItemFromBag	914	public
TCreature	function	FindItemToBindFromBag	916	public
TCreature	function	GuildAgitInvitationItemSet	919	public
TCreature	function	GuildAgitInvitationTimeOutCheck	921	public
TCreature	function	GuildAgitDecoItemSet	924	public
TCreature	function	IncFamePoint	927	public
TCreature	function	DecFamePoint	928	public
TCreature	procedure	ZeroFamePoint	929	public
TCreature	function	UseCurrentFamePoint	930	public
TCreature	procedure	DecWeaponBadLuck	931	public
TCreature	procedure	GetGiftFromBox	934	public
TCreature	procedure	GetGiftFromEgg	936	public
TCreature	procedure	GetGiftFromOldBox	938	public
TCreature	procedure	EnhanceExtraAbility	941	public
TAnimal	class	TCreature	944	
TAnimal	constructor	Create	952	public
TAnimal	procedure	RunMsg	953	public
TAnimal	procedure	Run	954	public
TAnimal	function	GetNearMonster	955	public
TAnimal	procedure	MonsterNormalAttack	956	public
TAnimal	procedure	MonsterDetecterAttack	957	public
TAnimal	procedure	SetTargetXY	958	public
TAnimal	procedure	GotoTargetXY	959	public
TAnimal	procedure	Wondering	960	public
TAnimal	procedure	Attack	961	public
TAnimal	procedure	Struck	962	public
TAnimal	procedure	LoseTarget	963	public
TUserHuman	class	TAnimal	966	
TUserHuman	function	TurnXY	991	private
TUserHuman	function	WalkXY	992	private
TUserHuman	function	RunXY	993	private
TUserHuman	procedure	GetRandomMineral	994	private
TUserHuman	procedure	GetRandomGems	995	private
TUserHuman	procedure	GetRandomMineral3	996	private
TUserHuman	function	DigUpMine	997	private
TUserHuman	function	HitXY	999	private
TUserHuman	function	GetMagic	1000	private
TUserHuman	function	SpellXY	1001	private
TUserHuman	function	SitdownXY	1002	private
TUserHuman	procedure	GetQueryUserName	1005	private
TUserHuman	procedure	ServerSendAdjustBonus	1006	private
TUserHuman	procedure	ServerGetOpenDoor	1007	private
TUserHuman	procedure	ServerGetTakeOnItem	1008	private
TUserHuman	procedure	ServerGetTakeOffItem	1009	private
TUserHuman	function	BindPotionUnit	1010	private
TUserHuman	procedure	ServerGetEatItem	1011	private
TUserHuman	procedure	ServerGetButch	1012	private
TUserHuman	procedure	ServerGetMagicKeyChange	1013	private
TUserHuman	procedure	ServerGetClickNpc	1014	private
TUserHuman	procedure	ServerGetMerchantDlgSelect	1015	private
TUserHuman	procedure	ServerGetMerchantQuerySellPrice	1016	private
TUserHuman	procedure	ServerGetMerchantQueryRepairPrice	1017	private
TUserHuman	procedure	ServerGetUserSellItem	1018	private
TUserHuman	procedure	ServerGetUserRepairItem	1019	private
TUserHuman	procedure	ServerSendStorageItemList	1020	private
TUserHuman	procedure	ServerGetUserStorageItem	1021	private
TUserHuman	procedure	ServerGetMakeDrug	1022	private
TUserHuman	procedure	ServerGetMakeItemSel	1023	private
TUserHuman	procedure	ServerGetMakeItem	1024	private
TUserHuman	procedure	ServerGetUserMenuBuy	1025	private
TUserHuman	procedure	RefreshGroupMembers	1026	private
TUserHuman	procedure	ServerGetCreateGroup	1027	private
TUserHuman	procedure	ServerGetCreateGroupRequestOk	1028	private
TUserHuman	procedure	ServerGetCreateGroupRequestFail	1029	private
TUserHuman	procedure	ServerGetAddGroupMember	1030	private
TUserHuman	procedure	ServerGetAddGroupMemberRequestOk	1031	private
TUserHuman	procedure	ServerGetAddGroupMemberRequestFail	1032	private
TUserHuman	procedure	ServerGetDelGroupMember	1033	private
TUserHuman	procedure	ServerGetDealTry	1034	private
TUserHuman	procedure	ServerGetDealAddItem	1035	private
TUserHuman	procedure	ServerGetDealDelItem	1036	private
TUserHuman	procedure	ServerGetDealChangeGold	1037	private
TUserHuman	procedure	ServerGetDealEnd	1038	private
TUserHuman	procedure	ServerGetTakeBackStorageItem	1039	private
TUserHuman	procedure	ServerGetWantMiniMap	1040	private
TUserHuman	procedure	SendChangeGuildName	1041	private
TUserHuman	procedure	ServerGetQueryUserState	1042	private
TUserHuman	procedure	ServerGetOpenGuildDlg	1043	private
TUserHuman	procedure	ServerGetGuildHome	1044	private
TUserHuman	procedure	ServerGetGuildMemberList	1045	private
TUserHuman	procedure	ServerGetGuildAddMember	1046	private
TUserHuman	procedure	ServerGetGuildDelMember	1047	private
TUserHuman	procedure	ServerGetGuildUpdateNotice	1048	private
TUserHuman	procedure	ServerGetGuildUpdateRanks	1049	private
TUserHuman	procedure	ServerGetAdjustBonus	1050	private
TUserHuman	procedure	ServerGetGuildMakeAlly	1051	private
TUserHuman	procedure	ServerGetGuildBreakAlly	1052	private
TUserHuman	procedure	RmMakeSlaveProc	1054	private
TUserHuman	procedure	ServerSendItemCountChanged	1056	private
TUserHuman	procedure	ServerGetSumCountItem	1057	private
TUserHuman	function	GetTotalValueOfOption	1059	private
TUserHuman	procedure	SendLoginNotice	1061	private
TUserHuman	procedure	ServerGetNoticeOk	1062	private
TUserHuman	procedure	ServerGetRelationOptionChange	1064	private
TUserHuman	procedure	ServerGetRelationRequest	1065	private
TUserHuman	procedure	ServerGetRelationDelete	1066	private
TUserHuman	procedure	ServerGetRelationDeleteRequestOk	1067	private
TUserHuman	procedure	ServerGetRelationDeleteRequestFail	1068	private
TUserHuman	procedure	ServerSetRelationDBWantList	1069	private
TUserHuman	procedure	ServerSetRelationDBAdd	1070	private
TUserHuman	procedure	ServerSetRelationDBEdit	1071	private
TUserHuman	procedure	ServerSetRelationDBDelete	1072	private
TUserHuman	procedure	ServerGetRelationDBGetList	1073	private
TUserHuman	procedure	ServerGetLoverLogout	1074	private
TUserHuman	function	GetCharMapInfo	1075	private
TUserHuman	procedure	ServerGetMarketList	1077	private
TUserHuman	procedure	ServerGetMarketSell	1078	private
TUserHuman	procedure	ServerGetMarketBuy	1079	private
TUserHuman	procedure	ServerGetMarketCancel	1080	private
TUserHuman	procedure	ServerGetMarketGetPay	1081	private
TUserHuman	procedure	ServerGetMarketClose	1082	private
TUserHuman	procedure	ServerGetGuildAgitList	1085	private
TUserHuman	function	ServerGetGuildAgitTag	1086	private
TUserHuman	function	ExecuteGuildAgitTrade	1087	private
TUserHuman	procedure	ServerGetGaBoardList	1089	private
TUserHuman	procedure	ServerGetGaBoardRead	1090	private
TUserHuman	procedure	ServerGetGaBoardAdd	1091	private
TUserHuman	procedure	ServerGetGaBoardDel	1092	private
TUserHuman	procedure	ServerGetGaBoardDelAll	1093	private
TUserHuman	procedure	ServerGetGaBoardEdit	1094	private
TUserHuman	procedure	ServerGetGaBoardNoticeCheck	1095	private
TUserHuman	procedure	ServerGetDecoItemBuy	1097	private
TUserHuman	constructor	Create	1192	public
TUserHuman	destructor	Destroy	1193	public
TUserHuman	procedure	Initialize	1194	public
TUserHuman	procedure	Finalize	1195	public
TUserHuman	procedure	ResetCharForRevival	1196	public
TUserHuman	procedure	Clear_5_9_bugitems	1197	public
TUserHuman	procedure	Reset_6_28_bugitems	1198	public
TUserHuman	function	GetUserMassCount	1199	public
TUserHuman	procedure	WriteConLog	1200	public
TUserHuman	procedure	SendSocket	1201	public
TUserHuman	procedure	SendDefMessage	1202	public
TUserHuman	procedure	GuildRankChanged	1203	public
TUserHuman	procedure	ChangeSkillLevel	1205	public
TUserHuman	procedure	CmdMakeFullSkill	1206	public
TUserHuman	procedure	CmdMakeOtherChangeSkillLevel	1207	public
TUserHuman	function	CmdDeletePKPoint	1208	public
TUserHuman	procedure	CmdSendPKPoint	1209	public
TUserHuman	procedure	CmdChangeJob	1210	public
TUserHuman	procedure	CmdChangeSex	1211	public
TUserHuman	procedure	CmdCallMakeMonster	1212	public
TUserHuman	procedure	CmdCallMakeSlaveMonster	1213	public
TUserHuman	procedure	CmdMissionSetting	1214	public
TUserHuman	procedure	CmdCallMakeMonsterXY	1215	public
TUserHuman	procedure	CmdMakeItem	1216	public
TUserHuman	procedure	CmdRefineWeapon	1217	public
TUserHuman	procedure	CmdDeleteUserGold	1218	public
TUserHuman	procedure	CmdAddUserGold	1219	public
TUserHuman	procedure	RCmdUserChangeGoldOk	1220	public
TUserHuman	procedure	CmdFreeSpaceMove	1221	public
TUserHuman	procedure	CmdCharSpaceMove	1222	public
TUserHuman	function	CmdLoverCharSpaceMove	1223	public
TUserHuman	procedure	CmdBreakLoverRelation	1224	public
TUserHuman	procedure	CmdStealth	1225	public
TUserHuman	procedure	CmdCharMove	1226	public
TUserHuman	procedure	CmdRushAttack	1227	public
TUserHuman	procedure	CmdManLevelChange	1228	public
TUserHuman	procedure	CmdManExpChange	1229	public
TUserHuman	procedure	CmdEraseItem	1230	public
TUserHuman	procedure	CmdRecallMan	1231	public
TUserHuman	procedure	CmdRecallMap	1232	public
TUserHuman	procedure	GuildMasterRecallMan	1233	public
TUserHuman	procedure	CmdReconnection	1234	public
TUserHuman	procedure	CmdReloadGuild	1235	public
TUserHuman	procedure	CmdReloadGuildAll	1236	public
TUserHuman	procedure	CmdReloadGuildAgit	1237	public
TUserHuman	procedure	CmdKickUser	1238	public
TUserHuman	procedure	CmdTingUser	1239	public
TUserHuman	procedure	CmdTingRangeUser	1240	public
TUserHuman	procedure	CmdCreateGuild	1241	public
TUserHuman	procedure	CmdDeleteGuild	1242	public
TUserHuman	procedure	CmdGetGuildMatchPoint	1243	public
TUserHuman	procedure	CmdStartGuildMatch	1244	public
TUserHuman	procedure	CmdEndGuildMatch	1245	public
TUserHuman	procedure	CmdAnnounceGuildMembersMatchPoint	1246	public
TUserHuman	procedure	CmdViewAllCharacterList	1247	public
TUserHuman	function	GetLevelInfoString	1248	public
TUserHuman	procedure	CmdSendUserLevelInfos	1249	public
TUserHuman	procedure	CmdSendMonsterLevelInfos	1250	public
TUserHuman	procedure	CmdSendKingMonsterInfos	1251	public
TUserHuman	procedure	CmdChangeUserCastleOwner	1252	public
TUserHuman	procedure	CmdReloadNpc	1253	public
TUserHuman	procedure	CmdOpenCloseUserCastleMainDoor	1254	public
TUserHuman	procedure	CmdAddShutUpList	1255	public
TUserHuman	procedure	CmdDelShutUpList	1256	public
TUserHuman	procedure	CmdSendShutUpList	1257	public
TUserHuman	procedure	CmdOneKillMob	1258	public
TUserHuman	procedure	CmdAgitDecoMonCount	1259	public
TUserHuman	procedure	CmdAgitDecoMonCountHere	1260	public
TUserHuman	procedure	CmdAdjustFamePoint	1261	public
TUserHuman	procedure	CmdGetFameName	1262	public
TUserHuman	procedure	CmdUserMarketDebug	1263	public
TUserHuman	procedure	CmdTestTimeDebug	1265	public
TUserHuman	procedure	CmdSetCryWide	1266	public
TUserHuman	procedure	CmdAddChatLogList	1268	public
TUserHuman	procedure	CmdDelChatLogList	1269	public
TUserHuman	procedure	CmdSendChatLogList	1270	public
TUserHuman	procedure	CmdGuildAgitRegistration	1272	public
TUserHuman	procedure	CmdGuildAgitAutoMove	1273	public
TUserHuman	procedure	CmdGuildAgitDelete	1274	public
TUserHuman	procedure	CmdGuildAgitExtendTime	1275	public
TUserHuman	procedure	CmdGuildAgitRemainTime	1276	public
TUserHuman	procedure	CmdGuildAgitRecall	1277	public
TUserHuman	procedure	CmdGuildAgitFreeMove	1278	public
TUserHuman	procedure	CmdGuildAgitSale	1280	public
TUserHuman	procedure	CmdGuildAgitSaleCancel	1281	public
TUserHuman	procedure	CmdGuildAgitBuy	1282	public
TUserHuman	procedure	CmdTryGuildAgitTrade	1283	public
TUserHuman	procedure	CmdGuildAgitExpulsionMyself	1285	public
TUserHuman	procedure	CmdGuildAgitDonate	1287	public
TUserHuman	procedure	CmdGuildAgitViewDonation	1288	public
TUserHuman	function	GetGuildAgitDonation	1289	public
TUserHuman	function	DecGuildAgitDonation	1290	public
TUserHuman	procedure	CmdGetGuildAgitFileVersion	1292	public
TUserHuman	procedure	CmdEraseMagic	1295	public
TUserHuman	procedure	CmdThisManEraseMagic	1296	public
TUserHuman	function	GuildDeclareWar	1297	public
TUserHuman	procedure	SendAddItem	1300	public
TUserHuman	procedure	SendUpdateItem	1301	public
TUserHuman	procedure	SendUpdateItemWithLevel	1302	public
TUserHuman	procedure	SendUpdateItemByJob	1304	public
TUserHuman	procedure	SendDelItem	1306	public
TUserHuman	procedure	SendDelItemWithFlag	1307	public
TUserHuman	procedure	SendDelItems	1308	public
TUserHuman	procedure	SendBagItems	1309	public
TUserHuman	procedure	SendUseItems	1310	public
TUserHuman	procedure	SendAddMagic	1311	public
TUserHuman	procedure	SendDelMagic	1312	public
TUserHuman	procedure	SendMyMagics	1313	public
TUserHuman	procedure	Whisper	1315	public
TUserHuman	procedure	LoverWhisper	1316	public
TUserHuman	procedure	WhisperRe	1317	public
TUserHuman	procedure	LoverWhisperRe	1318	public
TUserHuman	procedure	BlockWhisper	1319	public
TUserHuman	function	IsBlockWhisper	1320	public
TUserHuman	procedure	Say	1321	public
TUserHuman	procedure	ThinkEtc	1322	public
TUserHuman	procedure	ReadySave	1323	public
TUserHuman	procedure	SendLogon	1324	public
TUserHuman	procedure	SendAreaState	1325	public
TUserHuman	procedure	DoStartupQuestNow	1326	public
TUserHuman	procedure	Operate	1327	public
TUserHuman	procedure	RunNotice	1328	public
TUserHuman	procedure	GetGetNotices	1329	public
TUserHuman	function	GetStartX	1330	public
TUserHuman	function	GetStartY	1331	public
TUserHuman	procedure	CheckHomePos	1332	public
TUserHuman	procedure	GuildSecession	1333	public
TUserHuman	procedure	CmdSendTestQuestDiary	1334	public
TUserHuman	procedure	ResetDeal	1336	public
TUserHuman	procedure	StartDeal	1337	public
TUserHuman	procedure	BrokeDeal	1338	public
TUserHuman	procedure	ServerGetDealCancel	1339	public
TUserHuman	procedure	AddDealItem	1340	public
TUserHuman	procedure	DelDealItem	1341	public
TUserHuman	procedure	AddDealCounterItem	1343	public
TUserHuman	procedure	DelDealCounterItem	1344	public
TUserHuman	function	IsReservedMakingSlave	1346	public
TUserHuman	function	RelationShipDeleteOther	1348	public
TUserHuman	function	CheckSeedItem	1352	public
TUserHuman	function	CheckJewelryItem	1353	public
TUserHuman	function	SumOfOptions	1354	public
TUserHuman	function	CalcUpgradeProbability	1355	public
TUserHuman	procedure	CmdUpgradeItem	1356	public
TUserHuman	procedure	CmdMakeAllJewelryItem	1357	public
TUserHuman	function	DoUpgradeItem	1358	public
TUserHuman	procedure	CmdLetterColor	1359	public
TUserHuman	function	SetExpiredTime	1362	public
TUserHuman	procedure	CheckExpiredTime	1363	public
TUserHuman	procedure	RequireLoadRefresh	1368	public
TUserHuman	procedure	RequireLoadUserMarket	1369	public
TUserHuman	procedure	RequireSellUserMarket	1370	public
TUserHuman	procedure	RequireBuyUserMarket	1371	public
TUserHuman	procedure	RequireCancelUserMarket	1372	public
TUserHuman	procedure	RequireGetPayUserMarket	1373	public
TUserHuman	function	IsExistBagItem	1376	public
TUserHuman	function	IsFullBagCount	1377	public
TUserHuman	function	IsEnableUseMarket	1378	public
TUserHuman	function	DeleteFromBagItem	1379	public
TUserHuman	function	AddToBagItem	1380	public
TUserHuman	function	GetMarketName	1381	public
TUserHuman	procedure	SendUserMarketSellReady	1382	public
TUserHuman	procedure	SendUserMarketCloseMsg	1383	public
TUserHuman	procedure	GetMarketData	1386	public
TUserHuman	procedure	SendUserMarketList	1387	public
TUserHuman	procedure	SellUserMarket	1388	public
TUserHuman	procedure	ReadyToSellUserMarket	1389	public
TUserHuman	procedure	BuyUserMarket	1390	public
TUserHuman	procedure	CancelUserMarket	1391	public
TUserHuman	procedure	GetPayUserMarket	1392	public
TUserHuman	procedure	CmdReloadGaBoardList	1397	public
TUserHuman	procedure	CmdGaBoardList	1398	public
TUserHuman	procedure	CmdGaBoardDelAll	1399	public
TUserHuman	procedure	CmdBuyDecoItem	1402	public
TUserHuman	procedure	SendDecoItemList	1403	public
TUserHuman	function	GetFameName	1406	public
TUserHuman	procedure	UserUnifyItem	1407	public
