website_skill_id	website_skill_name	website_class	website_image	website_image_evidence	source_description	zircon_index	zircon_name	zircon_class	zircon_description	catalog_evidence	icon	icon_evidence	match_method	match_evidence	confidence	status	skip_reason	business_index_untouched	apply_status
skill-战士-铁布衫	铁布衫	战士	../images/skill/pic/4jun03.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/4jun03.gif"",""bytes"":7386,""sha256"":""b8aab98f764e49a2168bfa4cd2ae7441b36a9de2084624797ee7e3f3e17fba80"",""width"":99,""height"":124,""mode"":""P"",""frames"":1,""format"":""GIF""}"	铁布衫是气功横练的一种。通过使贯注在经脉中的内家真气高度集中同时高速流动，让原本的血肉之躯变得坚硬如铁，不惧任何外来的攻击。如果说法师的魔法盾是在人体外围形成了一个防御层，铁布衫则是在人体内以气御袭。由于真气的转换集中，原本攻击依仗的真气也相应被借走，攻击力受损是在所难免的。 - 1等级 : 44级开始可以修炼 - 2等级 : 47级开始可以修炼 - 3等级 : 50级开始可以修炼	12	Defiance	Warrior	Significantly increase your defense and magic resistance whilst reducing attack power. Duration increases with training.	"[{""legacy_id"":102,""tag"":""changed"",""target"":""Defiance (id=12)"",""current_index"":12}]"	202	"{""status"":""present"",""icon"":202,""header"":{""index"":202,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-战士-斗转星移	斗转星移	战士	../images/skill/pic/4jun04.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/4jun04.gif"",""bytes"":7422,""sha256"":""0d1d5a3464211ac252a472cd6550daf21ef588c4615d548da9b188d713c3041e"",""width"":126,""height"":127,""mode"":""P"",""frames"":1,""format"":""GIF""}"	斗转星移，能够使用斗转星移的战士本身已是控制气场的高手。当他的身体与周围的空气融成一体时，控制空气就如同控制自己的身体那样简单。使用者只需以强大的漩涡气场吸走对方身体周围的空气，敌人将不受控制地前倾扑跌。旋涡气场的吸取能力越大，敌人扑跌的速度越快。当气场完全发挥时，敌人可能在瞬间已经被吸到使用者的面前。 - 1等级 : 46级开始可以修炼 - 2等级 : 49级开始可以修炼 - 3等级 : 52级开始可以修炼	13	Beckon	Warrior	A skill that pulls a distant target into melee range. Its success rate increases with training.	"[{""legacy_id"":108,""tag"":""changed"",""target"":""Beckon (id=13)"",""current_index"":13}]"	214	"{""status"":""present"",""icon"":214,""header"":{""index"":214,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-战士-破血狂杀	破血狂杀	战士	../images/skill/pic/4jun05.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/4jun05.gif"",""bytes"":13780,""sha256"":""0a80ea9b5aaddc7a934335d2c5555a438c677543601db5ea0830403fdb54801b"",""width"":126,""height"":127,""mode"":""P"",""frames"":1,""format"":""GIF""}"	破血狂杀，从实质来看，是铁布衫完全相反的一种形式。当一个人的意念完全用于破敌时，他将不再顾及自身的生命，所有的护体真气全部流向气海以作进攻之用。当破血狂杀被使出的时候，你将轻易觉察到使用者能够力劈华山的强大伤害力以及已近不堪一击的虚弱身体。 - 1等级 : 48级开始可以修炼 - 2等级 : 51级开始可以修炼 - 3等级 : 54级开始可以修炼	14	Might	Warrior	Moderately increase your damage. The damage bonus and duration increases with training.	"[{""legacy_id"":106,""tag"":""changed"",""target"":""Might (id=14)"",""current_index"":14}]"	210	"{""status"":""present"",""icon"":210,""header"":{""index"":210,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-法师-火球术	火球术	法师	../images/skill/pic/sul01.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/sul01.gif"",""bytes"":5661,""sha256"":""856654afa5d7c95bd04097f2d1fa1fa4e010cc0b02b42ed9a05efda0211f6776"",""width"":128,""height"":106,""mode"":""P"",""frames"":1,""format"":""GIF""}"	用咒语将内功转换为火球射向对方。修炼等级越高，杀伤力也越强。 - 1等级 : 7级开始可以修炼 - 2等级 : 9级开始可以修炼 - 3等级 : 11级开始可以修炼	23	Fire Ball	Wizard	The most basic Fire spell. Its damage increases with training.	"[{""legacy_id"":1,""tag"":""both"",""target"":""Fire Ball (id=23)"",""current_index"":23}]"	0	"{""status"":""present"",""icon"":0,""header"":{""index"":0,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-法师-霹雳掌	霹雳掌	法师	../images/skill/pic/sul17.jpg	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/sul17.jpg"",""bytes"":23248,""sha256"":""c0665a9c6ffd49d897a12671a299ce9efd89fd885616543788f77c5831c11416"",""width"":126,""height"":127,""mode"":""RGB"",""frames"":1,""format"":""JPEG""}"	是将体内的魔法转换为电击气运，集中在掌心，向外射放的最简单的电击系列魔法。虽然威力不是很强大，但是对付死者系列的敌人很有帮助。只要掌握机会适当使用霹雳掌，能获得很好效果。 - 1等级 : 8级开始可以修炼 - 2等级 : 10级开始可以修炼 - 3等级 : 12级开始可以修炼	24	Lightning Ball	Wizard	The most basic Lightning spell. Its damage increases with training.	"[{""legacy_id"":41,""tag"":""both"",""target"":""Lightning Ball (id=24)"",""current_index"":24}]"	80	"{""status"":""present"",""icon"":80,""header"":{""index"":80,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-法师-冰月神掌	冰月神掌	法师	../images/skill/pic/sul15.jpg	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/sul15.jpg"",""bytes"":24478,""sha256"":""dd81906c0b6d2020a6cadbc27d6fd5d6ad18f04f859a106e9a1c38c2cd643328"",""width"":126,""height"":112,""mode"":""RGB"",""frames"":1,""format"":""JPEG""}"	利用法术将体内的魔法转换为冰气射放出来。虽然冰系列魔法主要对没有耐性的敌人有较大效果，但是偶尔可以让对方冻僵，使对方行动变得缓慢。修炼等级越高，杀伤力和冻僵的概率越高。 - 1等级 : 9级开始可以修炼 - 2等级 : 11级开始可以修炼 - 3等级 : 13级开始可以修炼	25	Ice Bolt	Wizard	The most basic Ice spell that damages the enemy and slows its movement speed. Its damage increases with training.	"[{""legacy_id"":39,""tag"":""both"",""target"":""Ice Bolt (id=25)"",""current_index"":25}]"	76	"{""status"":""present"",""icon"":76,""header"":{""index"":76,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-法师-风掌	风掌	法师	../images/skill/pic/sul21.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/sul21.gif"",""bytes"":4556,""sha256"":""86807eba2de6a6ee840bd9e0bc19404d2352cd1f09149247a16a2ad1cd53a528"",""width"":128,""height"":115,""mode"":""P"",""frames"":1,""format"":""GIF""}"	风系的点魔法,可以吹开等级比低很多的怪。很多怪物都怕风的,这招很适用哦 - 1等级 : 10级开始可以修炼 - 2等级 : 12级开始可以修炼 - 3等级 : 14级开始可以修炼	26	Gust Blast	Wizard	The most basic Wind spell that pushes away enemies. Its damage and chance to push away your enemy increases with training.	"[{""legacy_id"":67,""tag"":""both"",""target"":""Gust Blast (id=26)"",""current_index"":26}]"	132	"{""status"":""present"",""icon"":132,""header"":{""index"":132,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-法师-抗拒火环	抗拒火环	法师	../images/skill/pic/sul03.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/sul03.gif"",""bytes"":8922,""sha256"":""1909f861e4c1925a3e4ee6891d3322bb50e864ff7c7ce602a38a6462fb1c5867"",""width"":126,""height"":121,""mode"":""P"",""frames"":1,""format"":""GIF""}"	抗拒火环引起火焰旋风，将身边的敌人驱逐开。被敌人包围时，可以使用此魔法。但是一定要注意，不能驱逐比自己更高等级的敌人。最多可以同时往8个方向推敌人，但是对敌人的杀伤力比较弱，只能当作护身法用。 - 1等级 : 12级开始可以修炼 - 2等级 : 14级开始可以修炼 - 3等级 : 16级开始可以修炼	27	Repulsion	Wizard	A defensive spell that allows you to push away enemies of lower level. This spell has a fixed chance for success. The range of the spell and chance of success increase with training.	"[{""legacy_id"":8,""tag"":""changed"",""target"":""Repulsion (id=27)"",""current_index"":27}]"	14	"{""status"":""present"",""icon"":14,""header"":{""index"":14,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-法师-诱惑之光	诱惑之光	法师	../images/skill/pic/sul02.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/sul02.gif"",""bytes"":6768,""sha256"":""fd42ef6492d508803d0bf937f439429b44243b0da5159d25be1e4266775e29bc"",""width"":126,""height"":145,""mode"":""P"",""frames"":1,""format"":""GIF""}"	诱惑之光给敌人强烈的电击冲击，攻击的不是敌人的肉体，而是灵魂，是非常可怕的魔法。中了此法术，全身麻痹，无法逃脱，甚至不分敌我乱攻击。法术高明时，还可俘虏怪物的意识，将其成为自己的手下。需要记住的是诱惑之光的魔法只维持一段时间。 - 1等级 : 13级开始可以修炼 - 2等级 : 15级开始可以修炼 - 3等级 : 17级开始可以修炼	28	Electric Shock	Wizard	A spell that knocks the enemy unconscious.  Your chance of success and duration of its effect increases with training.	"[{""legacy_id"":20,""tag"":""both"",""target"":""Electric Shock (id=28)"",""current_index"":28}]"	38	"{""status"":""present"",""icon"":38,""header"":{""index"":38,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-法师-瞬息移动	瞬息移动	法师	../images/skill/pic/sul05.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/sul05.gif"",""bytes"":10310,""sha256"":""ab5f8b1049c8693f8f8500211a49efc486bd1b683c8a2eba66f5b07c1864994c"",""width"":126,""height"":145,""mode"":""P"",""frames"":1,""format"":""GIF""}"	瞬息移动使用的是最黑暗最神奇领域的魔法，贯通时空的法术。可以瞬间移动到村庄附近，但是修炼等级低下时，会被移动到其他地方或者根本不移动。传说有一个法师过多使用此魔法，套在无尽的时空中，成了流浪者。 - 1等级 : 14级开始可以修炼 - 2等级 : 16级开始可以修炼 - 3等级 : 18级开始可以修炼	29	Teleportation	Wizard	A spell that moves you to a random location. Your chance of success increases with training.	"[{""legacy_id"":21,""tag"":""both"",""target"":""Teleportation (id=29)"",""current_index"":29}]"	40	"{""status"":""present"",""icon"":40,""header"":{""index"":40,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-法师-大火球	大火球	法师	../images/skill/pic/sul06.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/sul06.gif"",""bytes"":5858,""sha256"":""fdff42fa2758519154026dea58201b4bb9cb68b268c8c641081a661583aaaabd"",""width"":128,""height"":123,""mode"":""P"",""frames"":1,""format"":""GIF""}"	大火球是火球术的更高境界，将相当量的火气凝聚在一点喷发出来。这时候的火焰可以熔化钢铁。 - 1等级 : 15级开始可以修炼 - 2等级 : 17级开始可以修炼 - 3等级 : 19级开始可以修炼	30	Adamantine Fire Ball	Wizard	A spell that is more powerful than the Fireball. Its damage increases with training.	"[{""legacy_id"":5,""tag"":""both"",""target"":""Adamantine Fire Ball (id=30)"",""current_index"":30}]"	8	"{""status"":""present"",""icon"":8,""header"":{""index"":8,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
